,Rich,Poor,Middle Class,AgentID,Wealth
0,49,21,29,0,0
1,49,21,29,1,21
2,49,21,29,2,13
3,49,21,29,3,1
4,49,21,29,4,2
5,49,21,29,5,-2
6,49,21,29,6,27
7,49,21,29,7,21
8,49,21,29,8,6
9,49,21,29,9,47
10,49,21,29,10,25
11,49,21,29,11,10
12,49,21,29,12,-5
13,49,21,29,13,15
14,49,21,29,14,-23
15,49,21,29,15,19
16,49,21,29,16,29
17,49,21,29,17,-35
18,49,21,29,18,2
19,49,21,29,19,3
20,49,21,29,20,20
21,49,21,29,21,2
22,49,21,29,22,15
23,49,21,29,23,-18
24,49,21,29,24,5
25,49,21,29,25,18
26,49,21,29,26,-35
27,49,21,29,27,13
28,49,21,29,28,74
29,49,21,29,29,-9
30,49,21,29,30,14
31,49,21,29,31,58
32,49,21,29,32,56
33,49,21,29,33,-4
34,49,21,29,34,12
35,49,21,29,35,-2
36,49,21,29,36,0
37,49,21,29,37,29
38,49,21,29,38,-32
39,49,21,29,39,33
40,49,21,29,40,31
41,49,21,29,41,-42
42,49,21,29,42,-11
43,49,21,29,43,12
44,49,21,29,44,20
45,49,21,29,45,27
46,49,21,29,46,21
47,49,21,29,47,-1
48,49,21,29,48,-20
49,49,21,29,49,18
50,49,21,29,50,2
51,49,21,29,51,-7
52,49,21,29,52,-12
53,49,21,29,53,32
54,49,21,29,54,11
55,49,21,29,55,5
56,49,21,29,56,-1
57,49,21,29,57,-29
58,49,21,29,58,30
59,49,21,29,59,-5
60,49,21,29,60,12
61,49,21,29,61,-65
62,49,21,29,62,24
63,49,21,29,63,-20
64,49,21,29,64,-40
65,49,21,29,65,12
66,49,21,29,66,-40
67,49,21,29,67,8
68,49,21,29,68,-25
69,49,21,29,69,-33
70,49,21,29,70,12
71,49,21,29,71,15
72,49,21,29,72,32
73,49,21,29,73,1
74,49,21,29,74,29
75,49,21,29,75,2
76,49,21,29,76,-11
77,49,21,29,77,-4
78,49,21,29,78,16
79,49,21,29,79,12
80,49,21,29,80,4
81,49,21,29,81,-26
82,49,21,29,82,36
83,49,21,29,83,-7
84,49,21,29,84,-44
85,49,21,29,85,14
86,49,21,29,86,-25
87,49,21,29,87,6
88,49,21,29,88,15
89,49,21,29,89,19
90,49,21,29,90,20
91,49,21,29,91,3
92,49,21,29,92,53
93,49,21,29,93,23
94,49,21,29,94,15
95,49,21,29,95,28
96,49,21,29,96,8
97,49,21,29,97,-33
98,49,21,29,98,11
99,49,21,29,99,48
