,Savings,Wallets,Money,Loans,Mean Money,Standart Deviation Money
0,1277,12,1289,666,12.77,(15.262932221562142+0j)
1,1277,12,1289,666,12.77,(15.262932221562142+0j)
2,1277,12,1289,666,12.77,(15.262932221562142+0j)
3,1277,12,1289,666,12.77,(15.262932221562142+0j)
4,1277,12,1289,666,12.77,(15.262932221562142+0j)
5,1277,12,1289,666,12.77,(15.262932221562142+0j)
6,1277,12,1289,666,12.77,(15.262932221562142+0j)
7,1277,12,1289,666,12.77,(15.262932221562142+0j)
8,1277,12,1289,666,12.77,(15.262932221562142+0j)
9,1277,12,1289,666,12.77,(15.262932221562142+0j)
10,1277,12,1289,666,12.77,(15.262932221562142+0j)
11,1277,12,1289,666,12.77,(15.262932221562142+0j)
12,1277,12,1289,666,12.77,(15.262932221562142+0j)
13,1277,12,1289,666,12.77,(15.262932221562142+0j)
14,1277,12,1289,666,12.77,(15.262932221562142+0j)
15,1277,12,1289,666,12.77,(15.262932221562142+0j)
16,1277,12,1289,666,12.77,(15.262932221562142+0j)
17,1277,12,1289,666,12.77,(15.262932221562142+0j)
18,1277,12,1289,666,12.77,(15.262932221562142+0j)
19,1277,12,1289,666,12.77,(15.262932221562142+0j)
20,1277,12,1289,666,12.77,(15.262932221562142+0j)
21,1277,12,1289,666,12.77,(15.262932221562142+0j)
22,1277,12,1289,666,12.77,(15.262932221562142+0j)
23,1277,12,1289,666,12.77,(15.262932221562142+0j)
24,1277,12,1289,666,12.77,(15.262932221562142+0j)
25,1277,12,1289,666,12.77,(15.262932221562142+0j)
26,1277,12,1289,666,12.77,(15.262932221562142+0j)
27,1277,12,1289,666,12.77,(15.262932221562142+0j)
28,1277,12,1289,666,12.77,(15.262932221562142+0j)
29,1277,12,1289,666,12.77,(15.262932221562142+0j)
30,1277,12,1289,666,12.77,(15.262932221562142+0j)
31,1277,12,1289,666,12.77,(15.262932221562142+0j)
32,1277,12,1289,666,12.77,(15.262932221562142+0j)
33,1277,12,1289,666,12.77,(15.262932221562142+0j)
34,1277,12,1289,666,12.77,(15.262932221562142+0j)
35,1277,12,1289,666,12.77,(15.262932221562142+0j)
36,1277,12,1289,666,12.77,(15.262932221562142+0j)
37,1277,12,1289,666,12.77,(15.262932221562142+0j)
38,1277,12,1289,666,12.77,(15.262932221562142+0j)
39,1277,12,1289,666,12.77,(15.262932221562142+0j)
40,1277,12,1289,666,12.77,(15.262932221562142+0j)
41,1277,12,1289,666,12.77,(15.262932221562142+0j)
42,1277,12,1289,666,12.77,(15.262932221562142+0j)
43,1277,12,1289,666,12.77,(15.262932221562142+0j)
44,1277,12,1289,666,12.77,(15.262932221562142+0j)
45,1277,12,1289,666,12.77,(15.262932221562142+0j)
46,1277,12,1289,666,12.77,(15.262932221562142+0j)
47,1277,12,1289,666,12.77,(15.262932221562142+0j)
48,1277,12,1289,666,12.77,(15.262932221562142+0j)
49,1277,12,1289,666,12.77,(15.262932221562142+0j)
50,1277,12,1289,666,12.77,(15.262932221562142+0j)
51,1277,12,1289,666,12.77,(15.262932221562142+0j)
52,1277,12,1289,666,12.77,(15.262932221562142+0j)
53,1277,12,1289,666,12.77,(15.262932221562142+0j)
54,1277,12,1289,666,12.77,(15.262932221562142+0j)
55,1277,12,1289,666,12.77,(15.262932221562142+0j)
56,1277,12,1289,666,12.77,(15.262932221562142+0j)
57,1277,12,1289,666,12.77,(15.262932221562142+0j)
58,1277,12,1289,666,12.77,(15.262932221562142+0j)
59,1277,12,1289,666,12.77,(15.262932221562142+0j)
60,1277,12,1289,666,12.77,(15.262932221562142+0j)
61,1277,12,1289,666,12.77,(15.262932221562142+0j)
62,1277,12,1289,666,12.77,(15.262932221562142+0j)
63,1277,12,1289,666,12.77,(15.262932221562142+0j)
64,1277,12,1289,666,12.77,(15.262932221562142+0j)
65,1277,12,1289,666,12.77,(15.262932221562142+0j)
66,1277,12,1289,666,12.77,(15.262932221562142+0j)
67,1277,12,1289,666,12.77,(15.262932221562142+0j)
68,1277,12,1289,666,12.77,(15.262932221562142+0j)
69,1277,12,1289,666,12.77,(15.262932221562142+0j)
70,1277,12,1289,666,12.77,(15.262932221562142+0j)
71,1277,12,1289,666,12.77,(15.262932221562142+0j)
72,1277,12,1289,666,12.77,(15.262932221562142+0j)
73,1277,12,1289,666,12.77,(15.262932221562142+0j)
74,1277,12,1289,666,12.77,(15.262932221562142+0j)
75,1277,12,1289,666,12.77,(15.262932221562142+0j)
76,1277,12,1289,666,12.77,(15.262932221562142+0j)
77,1277,12,1289,666,12.77,(15.262932221562142+0j)
78,1277,12,1289,666,12.77,(15.262932221562142+0j)
79,1277,12,1289,666,12.77,(15.262932221562142+0j)
80,1277,12,1289,666,12.77,(15.262932221562142+0j)
81,1277,12,1289,666,12.77,(15.262932221562142+0j)
82,1277,12,1289,666,12.77,(15.262932221562142+0j)
83,1277,12,1289,666,12.77,(15.262932221562142+0j)
84,1277,12,1289,666,12.77,(15.262932221562142+0j)
85,1277,12,1289,666,12.77,(15.262932221562142+0j)
86,1277,12,1289,666,12.77,(15.262932221562142+0j)
87,1277,12,1289,666,12.77,(15.262932221562142+0j)
88,1277,12,1289,666,12.77,(15.262932221562142+0j)
89,1277,12,1289,666,12.77,(15.262932221562142+0j)
90,1277,12,1289,666,12.77,(15.262932221562142+0j)
91,1277,12,1289,666,12.77,(15.262932221562142+0j)
92,1277,12,1289,666,12.77,(15.262932221562142+0j)
93,1277,12,1289,666,12.77,(15.262932221562142+0j)
94,1277,12,1289,666,12.77,(15.262932221562142+0j)
95,1277,12,1289,666,12.77,(15.262932221562142+0j)
96,1277,12,1289,666,12.77,(15.262932221562142+0j)
97,1277,12,1289,666,12.77,(15.262932221562142+0j)
