,density,multispecies,Run,AgentId,state,width,height
0,0.5,True,0,"(0, 0)",0,50,50
1663,0.5,True,0,"(33, 13)",0,50,50
1664,0.5,True,0,"(33, 14)",0,50,50
1665,0.5,True,0,"(33, 15)",0,50,50
1666,0.5,True,0,"(33, 16)",0,50,50
1667,0.5,True,0,"(33, 17)",0,50,50
1668,0.5,True,0,"(33, 18)",0,50,50
1669,0.5,True,0,"(33, 19)",0,50,50
1670,0.5,True,0,"(33, 20)",0,50,50
1671,0.5,True,0,"(33, 21)",0,50,50
1672,0.5,True,0,"(33, 22)",0,50,50
1673,0.5,True,0,"(33, 23)",0,50,50
1674,0.5,True,0,"(33, 24)",2,50,50
1675,0.5,True,0,"(33, 25)",0,50,50
1676,0.5,True,0,"(33, 26)",0,50,50
1677,0.5,True,0,"(33, 27)",0,50,50
1662,0.5,True,0,"(33, 12)",0,50,50
1661,0.5,True,0,"(33, 11)",0,50,50
1660,0.5,True,0,"(33, 10)",0,50,50
1659,0.5,True,0,"(33, 9)",0,50,50
1643,0.5,True,0,"(32, 43)",0,50,50
1644,0.5,True,0,"(32, 44)",0,50,50
1645,0.5,True,0,"(32, 45)",0,50,50
1646,0.5,True,0,"(32, 46)",0,50,50
1647,0.5,True,0,"(32, 47)",0,50,50
1648,0.5,True,0,"(32, 48)",0,50,50
1649,0.5,True,0,"(32, 49)",0,50,50
1678,0.5,True,0,"(33, 28)",0,50,50
1650,0.5,True,0,"(33, 0)",0,50,50
1652,0.5,True,0,"(33, 2)",0,50,50
1653,0.5,True,0,"(33, 3)",0,50,50
1654,0.5,True,0,"(33, 4)",0,50,50
1655,0.5,True,0,"(33, 5)",0,50,50
1656,0.5,True,0,"(33, 6)",0,50,50
1657,0.5,True,0,"(33, 7)",0,50,50
1658,0.5,True,0,"(33, 8)",0,50,50
1651,0.5,True,0,"(33, 1)",0,50,50
1642,0.5,True,0,"(32, 42)",1,50,50
1679,0.5,True,0,"(33, 29)",0,50,50
1681,0.5,True,0,"(33, 31)",0,50,50
1702,0.5,True,0,"(34, 2)",0,50,50
1703,0.5,True,0,"(34, 3)",0,50,50
1704,0.5,True,0,"(34, 4)",0,50,50
1705,0.5,True,0,"(34, 5)",0,50,50
1706,0.5,True,0,"(34, 6)",0,50,50
1707,0.5,True,0,"(34, 7)",0,50,50
1708,0.5,True,0,"(34, 8)",0,50,50
1709,0.5,True,0,"(34, 9)",0,50,50
1710,0.5,True,0,"(34, 10)",0,50,50
1711,0.5,True,0,"(34, 11)",0,50,50
1712,0.5,True,0,"(34, 12)",0,50,50
1713,0.5,True,0,"(34, 13)",0,50,50
1714,0.5,True,0,"(34, 14)",0,50,50
1715,0.5,True,0,"(34, 15)",0,50,50
1716,0.5,True,0,"(34, 16)",0,50,50
1701,0.5,True,0,"(34, 1)",0,50,50
1700,0.5,True,0,"(34, 0)",1,50,50
1699,0.5,True,0,"(33, 49)",1,50,50
1698,0.5,True,0,"(33, 48)",0,50,50
1682,0.5,True,0,"(33, 32)",0,50,50
1683,0.5,True,0,"(33, 33)",0,50,50
1684,0.5,True,0,"(33, 34)",0,50,50
1685,0.5,True,0,"(33, 35)",2,50,50
1686,0.5,True,0,"(33, 36)",2,50,50
1687,0.5,True,0,"(33, 37)",2,50,50
1688,0.5,True,0,"(33, 38)",0,50,50
1680,0.5,True,0,"(33, 30)",0,50,50
1689,0.5,True,0,"(33, 39)",0,50,50
1691,0.5,True,0,"(33, 41)",0,50,50
1692,0.5,True,0,"(33, 42)",0,50,50
1693,0.5,True,0,"(33, 43)",0,50,50
1694,0.5,True,0,"(33, 44)",0,50,50
1695,0.5,True,0,"(33, 45)",0,50,50
1696,0.5,True,0,"(33, 46)",0,50,50
1697,0.5,True,0,"(33, 47)",0,50,50
1690,0.5,True,0,"(33, 40)",0,50,50
1717,0.5,True,0,"(34, 17)",0,50,50
1641,0.5,True,0,"(32, 41)",1,50,50
1639,0.5,True,0,"(32, 39)",0,50,50
1585,0.5,True,0,"(31, 35)",0,50,50
1586,0.5,True,0,"(31, 36)",0,50,50
1587,0.5,True,0,"(31, 37)",0,50,50
1588,0.5,True,0,"(31, 38)",0,50,50
1589,0.5,True,0,"(31, 39)",0,50,50
1590,0.5,True,0,"(31, 40)",0,50,50
1591,0.5,True,0,"(31, 41)",1,50,50
1592,0.5,True,0,"(31, 42)",1,50,50
1593,0.5,True,0,"(31, 43)",0,50,50
1594,0.5,True,0,"(31, 44)",0,50,50
1595,0.5,True,0,"(31, 45)",0,50,50
1596,0.5,True,0,"(31, 46)",0,50,50
1597,0.5,True,0,"(31, 47)",0,50,50
1598,0.5,True,0,"(31, 48)",0,50,50
1599,0.5,True,0,"(31, 49)",0,50,50
1584,0.5,True,0,"(31, 34)",0,50,50
1583,0.5,True,0,"(31, 33)",0,50,50
1582,0.5,True,0,"(31, 32)",0,50,50
1581,0.5,True,0,"(31, 31)",0,50,50
1565,0.5,True,0,"(31, 15)",0,50,50
1566,0.5,True,0,"(31, 16)",0,50,50
1567,0.5,True,0,"(31, 17)",0,50,50
1568,0.5,True,0,"(31, 18)",0,50,50
1569,0.5,True,0,"(31, 19)",0,50,50
1570,0.5,True,0,"(31, 20)",0,50,50
1571,0.5,True,0,"(31, 21)",0,50,50
1600,0.5,True,0,"(32, 0)",2,50,50
1572,0.5,True,0,"(31, 22)",2,50,50
1574,0.5,True,0,"(31, 24)",0,50,50
