Step,AgentID,Steps to fire up
50,"(0, 0)",0
50,"(0, 3)",0
50,"(0, 4)",0
50,"(0, 10)",0
50,"(0, 11)",0
50,"(0, 13)",0
50,"(0, 16)",0
50,"(0, 17)",0
50,"(0, 22)",0
50,"(0, 24)",0
50,"(0, 27)",0
50,"(0, 29)",0
50,"(0, 31)",0
50,"(0, 32)",0
50,"(0, 35)",0
50,"(0, 37)",0
50,"(0, 43)",0
50,"(0, 45)",0
50,"(0, 48)",0
50,"(0, 49)",0
50,"(0, 51)",0
50,"(0, 52)",0
50,"(0, 54)",0
50,"(0, 57)",0
50,"(0, 58)",0
50,"(0, 59)",0
50,"(0, 61)",0
50,"(0, 62)",0
50,"(0, 64)",0
50,"(0, 68)",0
50,"(0, 69)",0
50,"(0, 70)",0
50,"(0, 71)",0
50,"(0, 72)",0
50,"(0, 74)",0
50,"(0, 75)",0
50,"(0, 77)",0
50,"(0, 78)",0
50,"(0, 79)",0
50,"(0, 81)",0
50,"(0, 82)",0
50,"(0, 86)",0
50,"(0, 88)",0
50,"(0, 89)",0
50,"(0, 90)",0
50,"(0, 91)",0
50,"(0, 92)",0
50,"(0, 93)",0
50,"(0, 94)",0
50,"(0, 96)",0
50,"(0, 97)",0
50,"(0, 99)",0
50,"(1, 0)",-1
50,"(1, 1)",2
50,"(1, 2)",1
50,"(1, 6)",-1
50,"(1, 14)",1
50,"(1, 19)",-1
50,"(1, 22)",-1
50,"(1, 24)",-1
50,"(1, 26)",1
50,"(1, 28)",1
50,"(1, 29)",2
50,"(1, 32)",1
50,"(1, 33)",1
50,"(1, 34)",1
50,"(1, 35)",1
50,"(1, 36)",1
50,"(1, 43)",1
50,"(1, 45)",1
50,"(1, 46)",1
50,"(1, 49)",1
50,"(1, 50)",1
50,"(1, 51)",1
50,"(1, 52)",1
50,"(1, 57)",1
50,"(1, 59)",1
50,"(1, 61)",-1
50,"(1, 62)",1
50,"(1, 63)",1
50,"(1, 65)",1
50,"(1, 68)",1
50,"(1, 70)",1
50,"(1, 71)",2
50,"(1, 73)",1
50,"(1, 75)",1
50,"(1, 76)",1
50,"(1, 77)",1
50,"(1, 78)",1
50,"(1, 80)",1
50,"(1, 81)",1
50,"(1, 82)",1
50,"(1, 83)",1
50,"(1, 84)",1
50,"(1, 85)",1
50,"(1, 86)",1
50,"(1, 88)",1
50,"(1, 89)",1
50,"(1, 90)",1
50,"(1, 91)",1
50,"(1, 93)",1
50,"(1, 94)",1
50,"(1, 95)",1
50,"(1, 96)",1
50,"(1, 99)",-1
50,"(2, 0)",3
50,"(2, 2)",1
50,"(2, 6)",-1
50,"(2, 8)",-1
50,"(2, 9)",-1
50,"(2, 10)",17
50,"(2, 12)",24
50,"(2, 17)",25
50,"(2, 21)",-1
50,"(2, 22)",-1
50,"(2, 24)",-1
50,"(2, 26)",2
50,"(2, 27)",1
50,"(2, 28)",1
50,"(2, 29)",1
50,"(2, 31)",2
50,"(2, 32)",2
50,"(2, 33)",2
50,"(2, 34)",2
50,"(2, 36)",1
50,"(2, 40)",9
50,"(2, 45)",1
50,"(2, 46)",1
50,"(2, 47)",2
50,"(2, 48)",2
50,"(2, 50)",2
50,"(2, 51)",1
50,"(2, 52)",2
50,"(2, 53)",-1
50,"(2, 54)",3
50,"(2, 58)",1
50,"(2, 59)",1
50,"(2, 60)",1
50,"(2, 62)",1
50,"(2, 66)",2
50,"(2, 67)",1
50,"(2, 69)",2
50,"(2, 71)",-1
50,"(2, 73)",9
50,"(2, 75)",1
50,"(2, 77)",1
50,"(2, 81)",2
50,"(2, 83)",1
50,"(2, 84)",1
50,"(2, 86)",1
50,"(2, 88)",1
50,"(2, 90)",1
50,"(2, 92)",2
50,"(2, 93)",2
50,"(2, 94)",2
50,"(2, 95)",1
50,"(3, 0)",3
50,"(3, 1)",3
50,"(3, 2)",2
50,"(3, 4)",17
50,"(3, 6)",-1
50,"(3, 7)",-1
50,"(3, 8)",-1
50,"(3, 9)",16
50,"(3, 10)",15
50,"(3, 12)",24
50,"(3, 13)",24
50,"(3, 15)",24
50,"(3, 16)",26
50,"(3, 17)",26
50,"(3, 18)",25
50,"(3, 21)",-1
50,"(3, 24)",-1
50,"(3, 28)",2
50,"(3, 29)",2
50,"(3, 31)",2
50,"(3, 33)",2
50,"(3, 34)",3
50,"(3, 36)",-1
50,"(3, 39)",10
50,"(3, 40)",8
50,"(3, 42)",8
50,"(3, 43)",-1
50,"(3, 49)",3
50,"(3, 50)",2
50,"(3, 51)",2
50,"(3, 53)",3
50,"(3, 54)",3
50,"(3, 55)",2
50,"(3, 56)",2
50,"(3, 57)",1
50,"(3, 59)",1
50,"(3, 61)",2
50,"(3, 62)",2
50,"(3, 64)",4
50,"(3, 67)",1
50,"(3, 68)",1
50,"(3, 72)",10
50,"(3, 74)",8
50,"(3, 75)",8
50,"(3, 80)",3
50,"(3, 81)",3
50,"(3, 83)",2
50,"(3, 85)",2
50,"(3, 86)",2
50,"(3, 87)",3
50,"(3, 90)",1
50,"(3, 91)",1
50,"(3, 97)",-1
50,"(3, 98)",-1
50,"(4, 2)",3
50,"(4, 5)",16
50,"(4, 8)",17
50,"(4, 11)",14
50,"(4, 14)",23
50,"(4, 18)",24
50,"(4, 19)",24
50,"(4, 22)",-1
50,"(4, 24)",-1
50,"(4, 26)",-1
50,"(4, 27)",2
50,"(4, 28)",2
50,"(4, 29)",2
50,"(4, 30)",2
50,"(4, 32)",2
50,"(4, 36)",-1
50,"(4, 38)",10
50,"(4, 39)",9
50,"(4, 40)",8
50,"(4, 41)",8
50,"(4, 48)",3
50,"(4, 49)",3
50,"(4, 50)",3
50,"(4, 54)",3
50,"(4, 55)",3
50,"(4, 56)",2
50,"(4, 57)",1
50,"(4, 58)",1
50,"(4, 59)",1
50,"(4, 61)",2
50,"(4, 63)",3
50,"(4, 64)",-1
50,"(4, 66)",2
50,"(4, 69)",2
50,"(4, 72)",11
50,"(4, 74)",7
50,"(4, 75)",7
50,"(4, 76)",6
50,"(4, 77)",5
50,"(4, 78)",5
50,"(4, 80)",4
50,"(4, 81)",4
50,"(4, 82)",2
50,"(4, 83)",3
50,"(4, 85)",-1
50,"(4, 88)",3
50,"(4, 90)",1
50,"(4, 91)",1
50,"(4, 94)",-1
50,"(4, 97)",-1
50,"(4, 98)",-1
50,"(5, 0)",5
50,"(5, 2)",3
50,"(5, 5)",15
50,"(5, 7)",17
50,"(5, 8)",13
50,"(5, 10)",14
50,"(5, 13)",23
50,"(5, 14)",23
50,"(5, 16)",23
50,"(5, 17)",23
50,"(5, 18)",23
50,"(5, 19)",24
50,"(5, 20)",24
50,"(5, 22)",-1
50,"(5, 24)",-1
50,"(5, 25)",-1
50,"(5, 26)",2
50,"(5, 28)",2
50,"(5, 30)",-1
50,"(5, 35)",-1
50,"(5, 36)",-1
50,"(5, 41)",8
50,"(5, 42)",7
50,"(5, 43)",7
50,"(5, 44)",6
50,"(5, 46)",5
50,"(5, 47)",4
50,"(5, 48)",5
50,"(5, 49)",4
50,"(5, 51)",6
50,"(5, 54)",4
50,"(5, 55)",2
50,"(5, 56)",2
50,"(5, 60)",2
50,"(5, 61)",3
50,"(5, 62)",3
50,"(5, 67)",-1
50,"(5, 69)",2
50,"(5, 71)",9
50,"(5, 72)",9
50,"(5, 73)",8
50,"(5, 74)",8
50,"(5, 75)",7
50,"(5, 76)",6
50,"(5, 79)",4
50,"(5, 80)",4
50,"(5, 82)",4
50,"(5, 83)",3
50,"(5, 86)",-1
50,"(5, 88)",2
50,"(5, 90)",2
50,"(5, 91)",2
50,"(5, 93)",-1
50,"(5, 94)",-1
50,"(5, 98)",-1
50,"(5, 99)",-1
50,"(6, 0)",4
50,"(6, 1)",3
50,"(6, 2)",14
50,"(6, 5)",16
50,"(6, 6)",14
50,"(6, 7)",12
50,"(6, 9)",13
50,"(6, 12)",23
50,"(6, 14)",23
50,"(6, 16)",23
50,"(6, 17)",23
50,"(6, 19)",23
50,"(6, 22)",-1
50,"(6, 24)",-1
50,"(6, 29)",-1
50,"(6, 33)",-1
50,"(6, 34)",-1
50,"(6, 37)",-1
50,"(6, 40)",9
50,"(6, 41)",8
50,"(6, 43)",7
50,"(6, 45)",5
50,"(6, 48)",5
50,"(6, 49)",5
50,"(6, 50)",5
50,"(6, 51)",6
50,"(6, 53)",-1
50,"(6, 55)",3
50,"(6, 56)",3
50,"(6, 59)",3
50,"(6, 60)",2
50,"(6, 61)",2
50,"(6, 62)",2
50,"(6, 66)",-1
50,"(6, 69)",-1
50,"(6, 72)",9
50,"(6, 75)",6
50,"(6, 76)",5
50,"(6, 77)",5
50,"(6, 78)",5
50,"(6, 79)",5
50,"(6, 84)",4
50,"(6, 86)",-1
50,"(6, 87)",3
50,"(6, 88)",2
50,"(6, 89)",2
50,"(6, 90)",2
50,"(6, 91)",2
50,"(6, 97)",-1
50,"(6, 98)",-1
50,"(7, 1)",4
50,"(7, 3)",13
50,"(7, 4)",12
50,"(7, 5)",13
50,"(7, 6)",12
50,"(7, 10)",-1
50,"(7, 11)",-1
50,"(7, 13)",23
50,"(7, 14)",22
50,"(7, 15)",22
50,"(7, 18)",22
50,"(7, 21)",-1
50,"(7, 23)",-1
50,"(7, 24)",-1
50,"(7, 25)",-1
50,"(7, 27)",-1
50,"(7, 29)",32
50,"(7, 34)",-1
50,"(7, 35)",-1
50,"(7, 36)",-1
50,"(7, 38)",-1
50,"(7, 41)",8
50,"(7, 42)",8
50,"(7, 43)",7
50,"(7, 44)",6
50,"(7, 45)",6
50,"(7, 46)",6
50,"(7, 53)",4
50,"(7, 54)",4
50,"(7, 55)",5
50,"(7, 56)",4
50,"(7, 57)",4
50,"(7, 60)",2
50,"(7, 61)",3
50,"(7, 62)",3
50,"(7, 64)",10
50,"(7, 66)",9
50,"(7, 71)",9
50,"(7, 72)",8
50,"(7, 74)",7
50,"(7, 75)",6
50,"(7, 76)",6
50,"(7, 78)",5
50,"(7, 81)",7
50,"(7, 83)",5
50,"(7, 84)",5
50,"(7, 87)",3
50,"(7, 89)",2
50,"(7, 90)",2
50,"(7, 93)",8
50,"(7, 94)",8
50,"(7, 96)",-1
50,"(7, 97)",-1
50,"(7, 98)",-1
50,"(8, 0)",5
50,"(8, 1)",7
50,"(8, 5)",11
50,"(8, 7)",13
50,"(8, 8)",13
50,"(8, 13)",17
50,"(8, 15)",22
50,"(8, 16)",22
50,"(8, 17)",21
50,"(8, 18)",21
50,"(8, 19)",21
50,"(8, 20)",21
50,"(8, 23)",-1
50,"(8, 24)",-1
50,"(8, 25)",-1
50,"(8, 28)",32
50,"(8, 30)",-1
50,"(8, 34)",-1
50,"(8, 35)",-1
50,"(8, 36)",-1
50,"(8, 37)",-1
50,"(8, 38)",-1
50,"(8, 39)",-1
50,"(8, 41)",-1
50,"(8, 45)",11
50,"(8, 47)",-1
50,"(8, 48)",-1
50,"(8, 51)",10
50,"(8, 54)",5
50,"(8, 55)",4
50,"(8, 57)",4
50,"(8, 59)",3
50,"(8, 60)",3
50,"(8, 61)",3
50,"(8, 64)",10
50,"(8, 66)",9
50,"(8, 67)",9
50,"(8, 69)",9
50,"(8, 70)",9
50,"(8, 72)",8
50,"(8, 73)",7
50,"(8, 76)",6
50,"(8, 78)",6
50,"(8, 80)",7
50,"(8, 82)",6
50,"(8, 84)",5
50,"(8, 85)",4
50,"(8, 86)",4
50,"(8, 88)",3
50,"(8, 89)",3
50,"(8, 91)",8
50,"(8, 93)",8
50,"(8, 94)",8
50,"(8, 97)",-1
50,"(9, 0)",6
50,"(9, 2)",7
50,"(9, 3)",8
50,"(9, 5)",10
50,"(9, 6)",12
50,"(9, 9)",13
50,"(9, 13)",16
50,"(9, 16)",21
50,"(9, 17)",21
50,"(9, 19)",21
50,"(9, 20)",20
50,"(9, 21)",21
50,"(9, 22)",-1
50,"(9, 24)",-1
50,"(9, 27)",32
50,"(9, 28)",32
50,"(9, 31)",-1
50,"(9, 32)",-1
50,"(9, 33)",-1
50,"(9, 34)",-1
50,"(9, 38)",-1
50,"(9, 39)",-1
50,"(9, 40)",-1
50,"(9, 42)",-1
50,"(9, 45)",11
50,"(9, 46)",11
50,"(9, 49)",10
50,"(9, 51)",10
50,"(9, 52)",10
50,"(9, 53)",10
50,"(9, 58)",4
50,"(9, 59)",4
50,"(9, 61)",3
50,"(9, 63)",9
50,"(9, 64)",10
50,"(9, 66)",8
50,"(9, 67)",9
50,"(9, 68)",9
50,"(9, 69)",9
50,"(9, 72)",8
50,"(9, 73)",8
50,"(9, 74)",9
50,"(9, 75)",9
50,"(9, 77)",7
50,"(9, 78)",7
50,"(9, 79)",7
50,"(9, 80)",7
50,"(9, 81)",7
50,"(9, 83)",6
50,"(9, 84)",5
50,"(9, 85)",4
50,"(9, 88)",3
50,"(9, 90)",7
50,"(9, 92)",7
50,"(9, 93)",8
50,"(9, 94)",8
50,"(9, 96)",-1
50,"(10, 0)",7
50,"(10, 1)",7
50,"(10, 2)",7
50,"(10, 4)",10
50,"(10, 7)",13
50,"(10, 11)",-1
50,"(10, 12)",14
50,"(10, 13)",15
50,"(10, 14)",16
50,"(10, 16)",22
50,"(10, 18)",20
50,"(10, 19)",20
