,Fine,On Fire,Burned Out
0,5237,52,0
1,5162,44,83
2,5101,35,153
3,5062,19,208
4,5032,15,242
5,5001,18,270
6,4974,22,293
7,4924,29,336
8,4851,38,400
9,4807,24,458
10,4771,17,501
11,4740,23,526
12,4711,16,562
13,4680,18,591
14,4621,24,644
15,4586,25,678
16,4549,23,717
17,4516,20,753
18,4476,22,791
19,4440,17,832
20,4416,17,856
21,4367,20,902
22,4336,17,936
23,4312,14,963
24,4292,9,988
25,4281,7,1001
26,4274,6,1009
27,4268,6,1015
28,4254,11,1024
29,4223,15,1051
30,4194,13,1082
31,4170,14,1105
32,4136,15,1138
33,4087,28,1174
34,4055,19,1215
35,4025,18,1246
36,3988,25,1276
37,3952,17,1320
38,3919,17,1353
39,3885,19,1385
40,3848,19,1422
41,3805,23,1461
42,3777,18,1494
43,3762,10,1517
44,3745,8,1536
45,3732,9,1548
46,3722,7,1560
47,3715,5,1569
48,3707,3,1579
49,3703,3,1583
50,3701,0,1588
