,Fine,On Fire,Burned Out
0,7890,77,0
1,7754,72,141
2,7635,74,258
3,7504,70,393
4,7328,101,538
5,7155,94,718
6,6948,115,904
7,6773,103,1091
8,6590,104,1273
9,6408,100,1459
10,6250,98,1619
11,6077,100,1790
12,5930,83,1954
13,5799,79,2089
14,5570,124,2273
15,5380,102,2485
16,5215,102,2650
17,5003,110,2854
18,4855,80,3032
19,4731,75,3161
20,4560,89,3318
21,4384,96,3487
22,4220,92,3655
23,4066,87,3814
24,3863,115,3989
25,3691,102,4174
26,3525,101,4341
27,3287,132,4548
28,3041,131,4795
29,2833,107,5027
30,2637,107,5223
31,2457,109,5401
32,2302,96,5569
33,2104,113,5750
34,1932,110,5925
35,1723,116,6128
36,1514,117,6336
37,1324,103,6540
38,1164,86,6717
39,1015,85,6867
40,876,79,7012
41,754,72,7141
42,641,59,7267
43,568,40,7359
44,506,38,7423
45,465,21,7481
46,404,32,7531
47,359,29,7579
48,314,26,7627
49,273,20,7674
50,246,15,7706
51,222,11,7734
52,219,2,7746
53,219,0,7748
