Description;Results
MAIN INFORMATION ABOUT DATA;
Timespan;2017:2022
Sources (Journals,  Books,  etc);122
Documents;149
Average years from publication;2.11
Average citations per documents;8.664
Average citations per year per doc;2.551
References;8466
DOCUMENT TYPES;
article;149
DOCUMENT CONTENTS;
Keywords Plus (ID);282
Author's Keywords (DE);663
AUTHORS;
Authors;462
Author Appearances;474
Authors of single-authored documents;34
Authors of multi-authored documents;428
AUTHORS COLLABORATION;
Single-authored documents;34
Documents per Author;0.323
Authors per Document;3.1
Co-Authors per Documents;3.18
Collaboration Index;3.72
