"Cluster","documents","ClusterFrequency","NormalizedLocalCitationScore"
"1","YAO YQ, 1997, J OPT SOC AM A","150","5.6"
"1","PONTANI M, 2010, J GUID CONTROL DYNAM","150","5.24"
"1","SOLTANPOUR MR, 2013, NONLINEAR DYNAM","150","4.49"
"1","PIATROU P, 2007, APPL OPTICS","150","3.52"
"1","JOHANSEN TA, 2013, AUTOMATICA","150","3.36"
"1","BREGER L, 2008, J GUID CONTROL DYNAM","150","3.13"
"1","DAI JF, 2014, OPT LASER ENG","150","2.91"
"1","SIENIUTYCZ S, 1997, PHYS REV E","150","2.49"
"1","HULSMANN M, 2010, COMPUT PHYS COMMUN","150","2.1"
"1","NAUDE AF, 2003, APPL MATH MODEL","150","1.97"
"1","BAYDIN AG, 2018, J MACH LEARN RES","150","1.54"
"1","WON KS, 2005, ENG OPTIMIZ","150","1.52"
"1","PHAM DT, 2001, P I MECH ENG B-J ENG","150","1.49"
"1","HSU Y, 2002, STRUCT MULTIDISCIP O","150","1.48"
"1","LIU WY, 2014, IEEE T INTELL TRANSP","150","1.45"
"1","KHOOBAN MH, 2013, J INTELL FUZZY SYST","150","1.12"
"1","OUSALOO HS, 2021, P I MECH ENG G-J AER","150","1"
"1","BARCHERS JD, 2001, J OPT SOC AM A","150","0.99"
"1","ABOUHEAF M, 2020, IEEE T INSTRUM MEAS","150","0.94"
"1","DAI YH, 2020, INT J OPT","150","0.94"
"1","MOGHADASSIAN B, 2020, RENEW ENERG","150","0.94"
"1","BONILLA-VILLALBA P, 2020, INT J UNCERTAIN QUAN","150","0.94"
"1","JI QQ, 2020, J CLEAN PROD","150","0.94"
"1","TZIPERMAN E, 1992, DYNAM ATMOS OCEANS","150","0.92"
"1","YU Y, 2019, SMART STRUCT SYST","150","0.87"
"1","LEIDINGER LF, 2019, COMPUT METHOD APPL M","150","0.87"
"1","SOTO MG, 2019, ENG STRUCT","150","0.87"
"1","LEI T, 2019, CHINESE J AERONAUT","150","0.87"
"1","LUI HFS, 2019, J FLUID MECH","150","0.87"
"1","MACHUCA G, 2019, IEEE ACCESS","150","0.87"
"1","JAGANNATHA BB, 2019, J GUID CONTROL DYNAM","150","0.87"
"1","ALZAYDI A, 2019, ARAB J SCI ENG","150","0.87"
"1","MUHAMAD RK, 2019, APPL OPTICS","150","0.87"
"1","LECCA M, 2019, J OPT SOC AM A","150","0.87"
"1","CAI ZW, 2019, OPT EXPRESS","150","0.87"
"1","DE ANDA-SUAREZ J, 2019, COMPUT PHYS COMMUN","150","0.87"
"1","CHENG YH, 2019, INT J CONTROL AUTOM","150","0.87"
"1","MEHTA NC, 1993, APPL OPTICS","150","0.83"
"1","WANG Y, 2017, SENSORS-BASEL","150","0.81"
"1","ZHANG H, 2017, DISCRETE DYN NAT SOC","150","0.81"
"1","CAO L, 2017, FRONT INFORM TECH EL","150","0.81"
"1","CHEN BY, 2017, INT J ADV ROBOT SYST","150","0.81"
"1","ARINZE ES, 2017, OPT EXPRESS","150","0.81"
"1","MIKS A, 2017, APPL OPTICS","150","0.81"
"1","SHI YT, 2017, J OPT SOC AM A","150","0.81"
"1","CANDON M, 2017, J INTEL MAT SYST STR","150","0.81"
"1","LI HX, 2017, STRUCT MULTIDISCIP O","150","0.81"
"1","APKARIAN P, 2017, INT J ROBUST NONLIN","150","0.81"
"1","MUNK DJ, 2017, J FLUID STRUCT","150","0.81"
"1","CASAS WJP, 2017, APPL MATH MODEL","150","0.81"
