"Year","N","MeanTCperArt","MeanTCperYear","CitableYears"
"1985","1","41","1.10810810810811","37"
"1986","1","4","0.111111111111111","36"
"1987","0","0","0","0"
"1988","0","0","0","0"
"1989","1","82","2.48484848484848","33"
"1990","4","10","0.3125","32"
"1991","14","23.7857142857143","0.767281105990783","31"
"1992","28","13.9642857142857","0.46547619047619","30"
"1993","24","25.3333333333333","0.873563218390805","29"
"1994","25","14.12","0.504285714285714","28"
"1995","36","29.1666666666667","1.08024691358025","27"
"1996","40","21.625","0.831730769230769","26"
"1997","40","26.25","1.05","25"
"1998","63","38.4285714285714","1.60119047619048","24"
"1999","60","24.3666666666667","1.05942028985507","23"
"2000","56","41.9285714285714","1.90584415584416","22"
"2001","71","90.6619718309859","4.31723675385647","21"
"2002","62","38.7258064516129","1.93629032258065","20"
"2003","93","27.5268817204301","1.44878324844369","19"
"2004","102","25.0490196078431","1.39161220043573","18"
