"Description","Results"
"MAIN INFORMATION ABOUT DATA",""
"Timespan","1985:2022"
"Sources (Journals, Books, etc)","1207"
"Documents","7443"
"Average years from publication","7.64"
"Average citations per documents","17.06"
"Average citations per year per doc","1.994"
"References","198638"
"DOCUMENT TYPES",""
"article","6839"
"article; early access","102"
"article; proceedings paper","385"
"correction","2"
"editorial material","10"
"letter","1"
"meeting abstract","2"
"note","4"
"reprint","1"
"review","93"
"review; book chapter","1"
"review; early access","3"
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","10166"
"Author's Keywords (DE)","16156"
"AUTHORS",""
"Authors","16925"
"Author Appearances","29213"
"Authors of single-authored documents","289"
"Authors of multi-authored documents","16636"
"AUTHORS COLLABORATION",""
"Single-authored documents","317"
"Documents per Author","0.44"
"Authors per Document","2.27"
"Co-Authors per Documents","3.92"
"Collaboration Index","2.33"
"",""
