"Country","Total Citations","Average Article Citations"
"USA","4494","41.229"
"CHINA","2078","7.502"
"UNITED KINGDOM","1820","20.920"
"SPAIN","1471","10.075"
"KOREA","1370","52.692"
"NETHERLANDS","1192","79.467"
"GERMANY","835","20.875"
"AUSTRALIA","793","26.433"
"NEW ZEALAND","618","154.500"
"JAPAN","478","23.900"
"SWITZERLAND","381","29.308"
"NORWAY","358","35.800"
"INDIA","287","10.630"
"BRAZIL","286","23.833"
"FRANCE","274","24.909"
"DENMARK","251","17.929"
"POLAND","233","8.630"
"ITALY","207","7.962"
"BELGIUM","203","20.300"
"AUSTRIA","195","16.250"
