"Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"CHINA","277","0.237361","212","65","0.2347"
"SPAIN","146","0.125107","102","44","0.3014"
"USA","109","0.093402","69","40","0.3670"
"UNITED KINGDOM","87","0.074550","39","48","0.5517"
"RUSSIA","41","0.035133","39","2","0.0488"
"GERMANY","40","0.034276","19","21","0.5250"
"AUSTRALIA","30","0.025707","17","13","0.4333"
"INDIA","27","0.023136","25","2","0.0741"
"POLAND","27","0.023136","21","6","0.2222"
"ITALY","26","0.022279","12","14","0.5385"
"KOREA","26","0.022279","20","6","0.2308"
"JAPAN","20","0.017138","14","6","0.3000"
"CANADA","17","0.014567","15","2","0.1176"
"FINLAND","16","0.013710","9","7","0.4375"
"NETHERLANDS","15","0.012853","9","6","0.4000"
"DENMARK","14","0.011997","11","3","0.2143"
"SWITZERLAND","13","0.011140","12","1","0.0769"
"AUSTRIA","12","0.010283","5","7","0.5833"
"BRAZIL","12","0.010283","8","4","0.3333"
"TURKEY","12","0.010283","9","3","0.2500"
