"Node","Cluster","Betweenness","Closeness","PageRank"
"big data","1","311.766690985718","0.0166666666666667","0.0991076749628011"
"information","1","13.6496138583681","0.012987012987013","0.0255143535123888"
"internet","1","10.4297853305676","0.0125","0.0359919929151322"
"future","1","4.37589864354316","0.0117647058823529","0.0210928948063992"
"prediction","1","7.49925017761753","0.0105263157894737","0.0135168142967929"
"things","1","0.63828847396329","0.010752688172043","0.0205860844479251"
"analytics","1","1.35099921545249","0.010989010989011","0.0160632327149408"
"classification","1","0","0.0099009900990099","0.00619974390521735"
"determinants","1","1.59948078181682","0.0106382978723404","0.00902794760696672"
"privacy","1","0","0.00925925925925926","0.00596161606822433"
"selection","1","0","0.00934579439252336","0.00517378307995769"
"impact","2","217.97755043563","0.0153846153846154","0.053763959376089"
"growth","2","19.6426286747755","0.0119047619047619","0.0184574318366961"
"models","2","2.25406881524201","0.010752688172043","0.00907382965322232"
"china","2","15.5853096901354","0.0116279069767442","0.0166555698435925"
"quality","2","0.807400097434741","0.0113636363636364","0.0118134207044661"
"economic-growth","2","6.1448936975385","0.010752688172043","0.0170906646463216"
"policy","2","3.01061134418441","0.0113636363636364","0.0137057756291947"
"behavior","2","0","0.0105263157894737","0.00579492242471021"
"risk","2","2.19047078491865","0.0105263157894737","0.00739350377821502"
"productivity","2","2.40130180853817","0.0101010101010101","0.0101336112693845"
"patterns","2","0.642938974034201","0.00952380952380952","0.00623170920884136"
"consumption","2","2.29578926709078","0.0113636363636364","0.011017234077056"
"strategies","2","1.28777801440938","0.0114942528735632","0.0127594550522509"
"trade","2","0","0.00934579439252336","0.00639475543336256"
"co2 emissions","2","2.95851717711797","0.0102040816326531","0.0147085151525422"
"countries","2","5.3686158358319","0.01","0.0127128105492041"
"energy-consumption","2","0.490460106476584","0.00943396226415094","0.0127859333342936"
"performance","3","140.300053472707","0.0153846153846154","0.0527053209322516"
"model","3","35.7193301557319","0.0133333333333333","0.036025150450067"
"management","3","25.0352140361642","0.0136986301369863","0.0446584709972588"
"economy","3","30.4300391570619","0.0121951219512195","0.0250398585013782"
"systems","3","18.3274721263182","0.0135135135135135","0.0324049304940247"
"technology","3","4.49849101075843","0.0125","0.0304682273445315"
"innovation","3","25.4608587945305","0.0136986301369863","0.0361920298377155"
"system","3","15.5407971586937","0.0123456790123457","0.0218444832910986"
"framework","3","1.07365830638651","0.0119047619047619","0.0163886711695467"
"governance","3","1.25359860050869","0.010989010989011","0.0116370438033253"
"industry","3","2.11027910876772","0.0119047619047619","0.0149556312378826"
"strategy","3","0.597783397652204","0.0112359550561798","0.0104711936423093"
"efficiency","3","0.379266604015358","0.01","0.00891824515979871"
"time","3","0.0865384615384615","0.00952380952380952","0.00591612092788976"
"design","3","0.79645360241738","0.0113636363636364","0.012683704866216"
"challenges","4","18.2285845946046","0.0135135135135135","0.0331251167354236"
"supply chain management","4","7.35158684890021","0.0120481927710843","0.0239853205913151"
"big data analytics","4","0.399597540818679","0.010752688172043","0.0141443461652498"
"firm performance","4","1.44934181151295","0.0112359550561798","0.0151763876908871"
"sustainability","4","7.06575556071914","0.0121951219512195","0.0173701168820016"
"implementation","4","5.87612205394406","0.0125","0.0212723442678604"
"technologies","4","1.65083540584249","0.010752688172043","0.0158880447257791"
