"Description","Results"
"MAIN INFORMATION ABOUT DATA",""
"Timespan","2010:2022"
"Sources (Journals, Books, etc)","719"
"Documents","1168"
"Average years from publication","3.25"
"Average citations per documents","16.79"
"Average citations per year per doc","3.421"
"References","61413"
"DOCUMENT TYPES",""
"article","1168"
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","2857"
"Author's Keywords (DE)","4420"
"AUTHORS",""
"Authors","10181"
"Author Appearances","13591"
"Authors of single-authored documents","167"
"Authors of multi-authored documents","10014"
"AUTHORS COLLABORATION",""
"Single-authored documents","173"
