"Year","N","MeanTCperArt","MeanTCperYear","CitableYears"
"2010","9","18.3333333333333","1.52777777777778","12"
"2011","7","27.7142857142857","2.51948051948052","11"
"2012","10","15.5","1.55","10"
"2013","16","23.4375","2.60416666666667","9"
"2014","27","29.4074074074074","3.67592592592593","8"
"2015","32","81.53125","11.6473214285714","7"
"2016","60","30.0166666666667","5.00277777777778","6"
"2017","115","42.3478260869565","8.4695652173913","5"
"2018","159","22.0817610062893","5.52044025157233","4"
"2019","196","11.1734693877551","3.72448979591837","3"
"2020","251","7.11155378486056","3.55577689243028","2"
"2021","267","4.26966292134831","4.26966292134831","1"
"2022","19","0.894736842105263","","0"
