"Year","Citations","diffMedian5"
"1742","1","1"
"1743","0","0"
"1744","0","0"
"1745","0","0"
"1746","0","0"
"1747","0","0"
"1748","0","0"
"1749","0","0"
"1750","1","1"
"1751","0","0"
"1752","0","0"
"1753","0","0"
"1754","0","0"
"1755","0","0"
"1756","0","0"
"1757","0","0"
"1758","0","0"
"1759","0","0"
"1760","0","0"
"1761","0","0"
"1762","0","0"
"1763","0","0"
"1764","0","0"
"1765","1","1"
"1766","0","0"
"1767","0","0"
"1768","0","0"
"1769","0","0"
"1770","0","0"
"1771","1","1"
"1772","0","0"
"1773","0","0"
"1774","1","1"
"1775","0","0"
"1776","1","1"
"1777","0","0"
"1778","0","0"
"1779","0","0"
"1780","0","0"
"1781","0","0"
"1782","0","0"
"1783","0","0"
"1784","0","0"
"1785","0","0"
"1786","0","0"
"1787","0","0"
"1788","0","0"
"1789","0","0"
"1790","0","0"
"1791","0","0"
