"From","To","Frequency"
"ALGERIA","ARMENIA","1"
"ALGERIA","BAHRAIN","1"
"ALGERIA","BENIN","1"
"ALGERIA","BHUTAN","1"
"ALGERIA","BOTSWANA","1"
"ALGERIA","BRUNEI","1"
"ALGERIA","BULGARIA","1"
"ALGERIA","CAMEROON","1"
"ALGERIA","CHAD","1"
"ALGERIA","CONGO","1"
"ALGERIA","COSTA RICA","1"
"ALGERIA","ECUADOR","1"
"ALGERIA","GEORGIA","1"
"ALGERIA","GHANA","1"
"ALGERIA","GUINEA","1"
"ALGERIA","INDONESIA","1"
"ALGERIA","IRAQ","1"
"ALGERIA","JORDAN","1"
"ALGERIA","KUWAIT","1"
"ALGERIA","KYRGYZSTAN","1"
"ALGERIA","LEBANON","1"
"ALGERIA","LIBERIA","1"
"ALGERIA","LUXEMBOURG","1"
"ALGERIA","MICRONESIA","1"
"ALGERIA","MOROCCO","1"
"ALGERIA","MOZAMBIQUE","1"
"ALGERIA","NAMIBIA","1"
"ALGERIA","PANAMA","1"
"ALGERIA","PERU","1"
"ALGERIA","QATAR","1"
"ALGERIA","RWANDA","1"
"ALGERIA","SLOVAKIA","1"
"ALGERIA","SRI LANKA","1"
"ALGERIA","TANZANIA","1"
"ALGERIA","TUNISIA","1"
"ALGERIA","URUGUAY","1"
"ALGERIA","YEMEN","1"
"ALGERIA","ZAMBIA","1"
"ARGENTINA","ALGERIA","1"
"ARGENTINA","ARMENIA","2"
"ARGENTINA","BAHRAIN","1"
"ARGENTINA","BANGLADESH","1"
"ARGENTINA","BENIN","1"
"ARGENTINA","BHUTAN","1"
"ARGENTINA","BOTSWANA","1"
"ARGENTINA","BRUNEI","1"
"ARGENTINA","BULGARIA","2"
"ARGENTINA","CAMEROON","1"
"ARGENTINA","CHAD","1"
"ARGENTINA","COLOMBIA","2"
