,Fine,On Fire,Burned Out
0,6475,61,0
1,6353,64,119
2,6244,55,237
3,6178,37,321
4,6113,44,379
5,6013,59,464
6,5897,71,568
7,5773,75,688
8,5658,63,815
9,5546,64,926
10,5446,57,1033
11,5350,56,1130
12,5240,61,1235
13,5162,50,1324
14,5076,53,1407
15,4980,52,1504
16,4891,56,1589
17,4783,56,1697
18,4669,71,1796
19,4536,61,1939
20,4405,71,2060
21,4268,72,2196
22,4201,39,2296
23,4130,35,2371
24,4064,38,2434
25,3972,49,2515
26,3870,55,2611
27,3757,65,2714
28,3645,68,2823
29,3554,51,2931
30,3439,68,3029
31,3344,57,3135
32,3220,64,3252
33,3072,78,3386
34,2956,67,3513
35,2869,57,3610
36,2768,57,3711
37,2669,56,3811
38,2528,70,3938
39,2418,64,4054
40,2316,45,4175
41,2184,69,4283
42,2091,50,4395
43,2002,48,4486
44,1905,57,4574
45,1819,53,4664
46,1728,52,4756
47,1637,53,4846
48,1539,59,4938
49,1412,65,5059
50,1307,60,5169
51,1198,63,5275
52,1095,63,5378
53,1019,43,5474
54,943,42,5551
55,845,56,5635
56,765,43,5728
57,687,39,5810
58,618,37,5881
59,575,21,5940
60,549,16,5971
61,540,6,5990
62,536,2,5998
63,535,1,6000
64,534,1,6001
65,531,1,6004
66,528,2,6006
67,521,2,6013
68,521,0,6015
