"Element","h_index","g_index","m_index","TC","NP","PY_start"
"LI X","7","7","1.000","1933","7","2016"
"ZHANG J","4","5","1.000","1651","5","2019"
"ZHANG H","3","3","1.000","1629","3","2020"
"WANG J","4","4","0.800","1115","4","2018"
"LEE D","4","5","0.571","1109","5","2016"
"KIM J","3","4","1.000","1092","4","2020"
"DURSI LJ","2","2","0.667","1086","2","2020"
"FUTREAL PA","2","2","0.667","1086","2","2020"
"LI S","2","2","0.667","1086","2","2020"
"PARK JW","2","2","0.667","1086","2","2020"
"PARK K","2","2","0.667","1086","2","2020"
"YANG L","2","2","0.667","1086","2","2020"
"HOSSAIN M","1","1","0.125","1038","1","2015"
"ISLAM SMR","1","1","0.125","1038","1","2015"
"KABIR MH","1","1","0.125","1038","1","2015"
"KWAK D","1","1","0.125","1038","1","2015"
"KWAK KS","1","1","0.125","1038","1","2015"
"WANG Q","4","5","0.667","773","5","2017"
"LEE JY","2","2","0.286","700","2","2016"
"JOHNSON R","2","2","0.500","661","2","2019"
