,num_nodes,initial_outbreak_size,virus_spread_chance,num_vaccinated,vaccine_rate,Run,AgentId,Vaccine,avg_node_degree,virus_check_frequency,gain_resistance_chance,recovery_chance
0,10,1,0.9,0,0,0,0,0,10,0.4,0.5,0.3
1,10,1,0.9,0,0,0,1,0,10,0.4,0.5,0.3
2,10,1,0.9,0,0,0,2,0,10,0.4,0.5,0.3
3,10,1,0.9,0,0,0,3,0,10,0.4,0.5,0.3
4,10,1,0.9,0,0,0,4,0,10,0.4,0.5,0.3
5,10,1,0.9,0,0,0,5,0,10,0.4,0.5,0.3
6,10,1,0.9,0,0,0,6,0,10,0.4,0.5,0.3
7,10,1,0.9,0,0,0,7,0,10,0.4,0.5,0.3
8,10,1,0.9,0,0,0,8,0,10,0.4,0.5,0.3
9,10,1,0.9,0,0,0,9,0,10,0.4,0.5,0.3
19,10,1,0.9,0,0,1,9,0,10,0.4,0.5,0.3
18,10,1,0.9,0,0,1,8,0,10,0.4,0.5,0.3
17,10,1,0.9,0,0,1,7,0,10,0.4,0.5,0.3
15,10,1,0.9,0,0,1,5,0,10,0.4,0.5,0.3
16,10,1,0.9,0,0,1,6,0,10,0.4,0.5,0.3
13,10,1,0.9,0,0,1,3,0,10,0.4,0.5,0.3
12,10,1,0.9,0,0,1,2,0,10,0.4,0.5,0.3
11,10,1,0.9,0,0,1,1,0,10,0.4,0.5,0.3
10,10,1,0.9,0,0,1,0,0,10,0.4,0.5,0.3
14,10,1,0.9,0,0,1,4,0,10,0.4,0.5,0.3
29,10,1,0.9,0,0,2,9,0,10,0.4,0.5,0.3
28,10,1,0.9,0,0,2,8,0,10,0.4,0.5,0.3
27,10,1,0.9,0,0,2,7,0,10,0.4,0.5,0.3
26,10,1,0.9,0,0,2,6,0,10,0.4,0.5,0.3
25,10,1,0.9,0,0,2,5,0,10,0.4,0.5,0.3
24,10,1,0.9,0,0,2,4,0,10,0.4,0.5,0.3
22,10,1,0.9,0,0,2,2,0,10,0.4,0.5,0.3
21,10,1,0.9,0,0,2,1,0,10,0.4,0.5,0.3
20,10,1,0.9,0,0,2,0,0,10,0.4,0.5,0.3
23,10,1,0.9,0,0,2,3,0,10,0.4,0.5,0.3
37,10,1,0.9,0,0,3,7,0,10,0.4,0.5,0.3
39,10,1,0.9,0,0,3,9,0,10,0.4,0.5,0.3
38,10,1,0.9,0,0,3,8,0,10,0.4,0.5,0.3
35,10,1,0.9,0,0,3,5,0,10,0.4,0.5,0.3
36,10,1,0.9,0,0,3,6,0,10,0.4,0.5,0.3
33,10,1,0.9,0,0,3,3,0,10,0.4,0.5,0.3
30,10,1,0.9,0,0,3,0,0,10,0.4,0.5,0.3
31,10,1,0.9,0,0,3,1,0,10,0.4,0.5,0.3
34,10,1,0.9,0,0,3,4,0,10,0.4,0.5,0.3
32,10,1,0.9,0,0,3,2,0,10,0.4,0.5,0.3
40,10,1,0.9,0,0,4,0,0,10,0.4,0.5,0.3
41,10,1,0.9,0,0,4,1,0,10,0.4,0.5,0.3
42,10,1,0.9,0,0,4,2,0,10,0.4,0.5,0.3
43,10,1,0.9,0,0,4,3,0,10,0.4,0.5,0.3
45,10,1,0.9,0,0,4,5,0,10,0.4,0.5,0.3
46,10,1,0.9,0,0,4,6,0,10,0.4,0.5,0.3
47,10,1,0.9,0,0,4,7,0,10,0.4,0.5,0.3
48,10,1,0.9,0,0,4,8,0,10,0.4,0.5,0.3
49,10,1,0.9,0,0,4,9,0,10,0.4,0.5,0.3
44,10,1,0.9,0,0,4,4,0,10,0.4,0.5,0.3
59,10,1,0.9,0,0,5,9,0,10,0.4,0.5,0.3
55,10,1,0.9,0,0,5,5,0,10,0.4,0.5,0.3
58,10,1,0.9,0,0,5,8,0,10,0.4,0.5,0.3
57,10,1,0.9,0,0,5,7,0,10,0.4,0.5,0.3
56,10,1,0.9,0,0,5,6,0,10,0.4,0.5,0.3
54,10,1,0.9,0,0,5,4,0,10,0.4,0.5,0.3
52,10,1,0.9,0,0,5,2,0,10,0.4,0.5,0.3
51,10,1,0.9,0,0,5,1,0,10,0.4,0.5,0.3
50,10,1,0.9,0,0,5,0,0,10,0.4,0.5,0.3
53,10,1,0.9,0,0,5,3,0,10,0.4,0.5,0.3
69,10,1,0.9,0,0,6,9,0,10,0.4,0.5,0.3
68,10,1,0.9,0,0,6,8,0,10,0.4,0.5,0.3
67,10,1,0.9,0,0,6,7,0,10,0.4,0.5,0.3
66,10,1,0.9,0,0,6,6,0,10,0.4,0.5,0.3
65,10,1,0.9,0,0,6,5,0,10,0.4,0.5,0.3
64,10,1,0.9,0,0,6,4,0,10,0.4,0.5,0.3
62,10,1,0.9,0,0,6,2,0,10,0.4,0.5,0.3
61,10,1,0.9,0,0,6,1,0,10,0.4,0.5,0.3
60,10,1,0.9,0,0,6,0,0,10,0.4,0.5,0.3
63,10,1,0.9,0,0,6,3,0,10,0.4,0.5,0.3
76,10,1,0.9,0,0,7,6,0,10,0.4,0.5,0.3
79,10,1,0.9,0,0,7,9,0,10,0.4,0.5,0.3
78,10,1,0.9,0,0,7,8,0,10,0.4,0.5,0.3
75,10,1,0.9,0,0,7,5,0,10,0.4,0.5,0.3
77,10,1,0.9,0,0,7,7,0,10,0.4,0.5,0.3
73,10,1,0.9,0,0,7,3,0,10,0.4,0.5,0.3
70,10,1,0.9,0,0,7,0,0,10,0.4,0.5,0.3
71,10,1,0.9,0,0,7,1,0,10,0.4,0.5,0.3
74,10,1,0.9,0,0,7,4,0,10,0.4,0.5,0.3
72,10,1,0.9,0,0,7,2,0,10,0.4,0.5,0.3
80,10,1,0.9,0,0,8,0,0,10,0.4,0.5,0.3
81,10,1,0.9,0,0,8,1,0,10,0.4,0.5,0.3
82,10,1,0.9,0,0,8,2,0,10,0.4,0.5,0.3
83,10,1,0.9,0,0,8,3,0,10,0.4,0.5,0.3
