,num_nodes,initial_outbreak_size,virus_spread_chance,num_vaccinated,vaccine_rate,Run,Infected,Resistant,Susceptible,Susceptible and Vaccinated,avg_node_degree,virus_check_frequency,gain_resistance_chance,recovery_chance
0,10,1,0.9,0,0,0,6,4,0,0,10,0.4,0.5,0.3
1,10,1,0.9,0,0,1,8,2,0,0,10,0.4,0.5,0.3
2,10,1,0.9,0,0,2,4,6,0,0,10,0.4,0.5,0.3
3,10,1,0.9,0,0,3,4,6,0,0,10,0.4,0.5,0.3
4,10,1,0.9,0,0,4,5,5,0,0,10,0.4,0.5,0.3
5,10,1,0.9,0,0,5,6,4,0,0,10,0.4,0.5,0.3
6,10,1,0.9,0,0,6,6,4,0,0,10,0.4,0.5,0.3
7,10,1,0.9,0,0,7,7,3,0,0,10,0.4,0.5,0.3
8,10,1,0.9,0,0,8,8,2,0,0,10,0.4,0.5,0.3
9,10,1,0.9,0,0,9,8,2,0,0,10,0.4,0.5,0.3
10,10,1,0.7,0,0,10,3,7,0,0,10,0.4,0.5,0.3
11,10,1,0.7,0,0,11,6,4,0,0,10,0.4,0.5,0.3
12,10,1,0.7,0,0,12,5,5,0,0,10,0.4,0.5,0.3
13,10,1,0.7,0,0,13,5,5,0,0,10,0.4,0.5,0.3
14,10,1,0.7,0,0,14,6,4,0,0,10,0.4,0.5,0.3
15,10,1,0.7,0,0,15,7,3,0,0,10,0.4,0.5,0.3
16,10,1,0.7,0,0,16,8,2,0,0,10,0.4,0.5,0.3
17,10,1,0.7,0,0,17,4,6,0,0,10,0.4,0.5,0.3
18,10,1,0.7,0,0,18,4,6,0,0,10,0.4,0.5,0.3
19,10,1,0.7,0,0,19,3,7,0,0,10,0.4,0.5,0.3
20,10,1,0.5,0,0,20,4,6,0,0,10,0.4,0.5,0.3
21,10,1,0.5,0,0,21,6,4,0,0,10,0.4,0.5,0.3
22,10,1,0.5,0,0,22,5,5,0,0,10,0.4,0.5,0.3
23,10,1,0.5,0,0,23,3,7,0,0,10,0.4,0.5,0.3
24,10,1,0.5,0,0,24,4,6,0,0,10,0.4,0.5,0.3
25,10,1,0.5,0,0,25,6,4,0,0,10,0.4,0.5,0.3
26,10,1,0.5,0,0,26,7,3,0,0,10,0.4,0.5,0.3
27,10,1,0.5,0,0,27,6,4,0,0,10,0.4,0.5,0.3
28,10,1,0.5,0,0,28,7,3,0,0,10,0.4,0.5,0.3
29,10,1,0.5,0,0,29,6,4,0,0,10,0.4,0.5,0.3
30,20,1,0.9,0,0,30,14,6,0,0,10,0.4,0.5,0.3
31,20,1,0.9,0,0,31,12,8,0,0,10,0.4,0.5,0.3
32,20,1,0.9,0,0,32,14,6,0,0,10,0.4,0.5,0.3
33,20,1,0.9,0,0,33,10,10,0,0,10,0.4,0.5,0.3
34,20,1,0.9,0,0,34,10,10,0,0,10,0.4,0.5,0.3
35,20,1,0.9,0,0,35,12,8,0,0,10,0.4,0.5,0.3
36,20,1,0.9,0,0,36,11,9,0,0,10,0.4,0.5,0.3
37,20,1,0.9,0,0,37,12,8,0,0,10,0.4,0.5,0.3
38,20,1,0.9,0,0,38,12,8,0,0,10,0.4,0.5,0.3
39,20,1,0.9,0,0,39,8,12,0,0,10,0.4,0.5,0.3
40,20,1,0.7,0,0,40,8,12,0,0,10,0.4,0.5,0.3
41,20,1,0.7,0,0,41,12,8,0,0,10,0.4,0.5,0.3
42,20,1,0.7,0,0,42,12,8,0,0,10,0.4,0.5,0.3
43,20,1,0.7,0,0,43,12,8,0,0,10,0.4,0.5,0.3
44,20,1,0.7,0,0,44,12,8,0,0,10,0.4,0.5,0.3
45,20,1,0.7,0,0,45,16,4,0,0,10,0.4,0.5,0.3
46,20,1,0.7,0,0,46,12,8,0,0,10,0.4,0.5,0.3
47,20,1,0.7,0,0,47,12,8,0,0,10,0.4,0.5,0.3
48,20,1,0.7,0,0,48,10,10,0,0,10,0.4,0.5,0.3
49,20,1,0.7,0,0,49,14,6,0,0,10,0.4,0.5,0.3
50,20,1,0.5,0,0,50,9,11,0,0,10,0.4,0.5,0.3
51,20,1,0.5,0,0,51,13,7,0,0,10,0.4,0.5,0.3
52,20,1,0.5,0,0,52,18,2,0,0,10,0.4,0.5,0.3
53,20,1,0.5,0,0,53,11,9,0,0,10,0.4,0.5,0.3
54,20,1,0.5,0,0,54,10,10,0,0,10,0.4,0.5,0.3
55,20,1,0.5,0,0,55,10,10,0,0,10,0.4,0.5,0.3
56,20,1,0.5,0,0,56,11,9,0,0,10,0.4,0.5,0.3
57,20,1,0.5,0,0,57,14,6,0,0,10,0.4,0.5,0.3
58,20,1,0.5,0,0,58,10,10,0,0,10,0.4,0.5,0.3
59,20,1,0.5,0,0,59,11,9,0,0,10,0.4,0.5,0.3
60,40,1,0.9,0,0,60,26,14,0,0,10,0.4,0.5,0.3
61,40,1,0.9,0,0,61,22,18,0,0,10,0.4,0.5,0.3
62,40,1,0.9,0,0,62,25,15,0,0,10,0.4,0.5,0.3
63,40,1,0.9,0,0,63,19,21,0,0,10,0.4,0.5,0.3
64,40,1,0.9,0,0,64,23,17,0,0,10,0.4,0.5,0.3
65,40,1,0.9,0,0,65,22,18,0,0,10,0.4,0.5,0.3
66,40,1,0.9,0,0,66,20,20,0,0,10,0.4,0.5,0.3
67,40,1,0.9,0,0,67,17,23,0,0,10,0.4,0.5,0.3
68,40,1,0.9,0,0,68,25,15,0,0,10,0.4,0.5,0.3
69,40,1,0.9,0,0,69,25,15,0,0,10,0.4,0.5,0.3
70,40,1,0.7,0,0,70,23,17,0,0,10,0.4,0.5,0.3
71,40,1,0.7,0,0,71,24,16,0,0,10,0.4,0.5,0.3
72,40,1,0.7,0,0,72,27,13,0,0,10,0.4,0.5,0.3
73,40,1,0.7,0,0,73,24,16,0,0,10,0.4,0.5,0.3
74,40,1,0.7,0,0,74,23,17,0,0,10,0.4,0.5,0.3
75,40,1,0.7,0,0,75,19,21,0,0,10,0.4,0.5,0.3
76,40,1,0.7,0,0,76,21,19,0,0,10,0.4,0.5,0.3
77,40,1,0.7,0,0,77,20,20,0,0,10,0.4,0.5,0.3
78,40,1,0.7,0,0,78,25,15,0,0,10,0.4,0.5,0.3
79,40,1,0.7,0,0,79,18,22,0,0,10,0.4,0.5,0.3
80,40,1,0.5,0,0,80,22,18,0,0,10,0.4,0.5,0.3
81,40,1,0.5,0,0,81,29,11,0,0,10,0.4,0.5,0.3
82,40,1,0.5,0,0,82,20,20,0,0,10,0.4,0.5,0.3
83,40,1,0.5,0,0,83,21,19,0,0,10,0.4,0.5,0.3
84,40,1,0.5,0,0,84,27,13,0,0,10,0.4,0.5,0.3
85,40,1,0.5,0,0,85,22,18,0,0,10,0.4,0.5,0.3
86,40,1,0.5,0,0,86,25,15,0,0,10,0.4,0.5,0.3
87,40,1,0.5,0,0,87,18,22,0,0,10,0.4,0.5,0.3
88,40,1,0.5,0,0,88,23,17,0,0,10,0.4,0.5,0.3
89,40,1,0.5,0,0,89,25,15,0,0,10,0.4,0.5,0.3
90,100,1,0.9,0,0,90,48,52,0,0,10,0.4,0.5,0.3
91,100,1,0.9,0,0,91,60,40,0,0,10,0.4,0.5,0.3
92,100,1,0.9,0,0,92,58,42,0,0,10,0.4,0.5,0.3
93,100,1,0.9,0,0,93,56,44,0,0,10,0.4,0.5,0.3
94,100,1,0.9,0,0,94,57,43,0,0,10,0.4,0.5,0.3
95,100,1,0.9,0,0,95,57,43,0,0,10,0.4,0.5,0.3
96,100,1,0.9,0,0,96,55,45,0,0,10,0.4,0.5,0.3
97,100,1,0.9,0,0,97,49,51,0,0,10,0.4,0.5,0.3
98,100,1,0.9,0,0,98,51,49,0,0,10,0.4,0.5,0.3
99,100,1,0.9,0,0,99,52,48,0,0,10,0.4,0.5,0.3
100,100,1,0.7,0,0,100,56,44,0,0,10,0.4,0.5,0.3
101,100,1,0.7,0,0,101,74,26,0,0,10,0.4,0.5,0.3
102,100,1,0.7,0,0,102,51,49,0,0,10,0.4,0.5,0.3
103,100,1,0.7,0,0,103,55,45,0,0,10,0.4,0.5,0.3
104,100,1,0.7,0,0,104,49,51,0,0,10,0.4,0.5,0.3
105,100,1,0.7,0,0,105,57,43,0,0,10,0.4,0.5,0.3
106,100,1,0.7,0,0,106,64,36,0,0,10,0.4,0.5,0.3
107,100,1,0.7,0,0,107,62,38,0,0,10,0.4,0.5,0.3
108,100,1,0.7,0,0,108,55,45,0,0,10,0.4,0.5,0.3
109,100,1,0.7,0,0,109,58,42,0,0,10,0.4,0.5,0.3
110,100,1,0.5,0,0,110,53,47,0,0,10,0.4,0.5,0.3
111,100,1,0.5,0,0,111,60,40,0,0,10,0.4,0.5,0.3
112,100,1,0.5,0,0,112,57,43,0,0,10,0.4,0.5,0.3
113,100,1,0.5,0,0,113,58,42,0,0,10,0.4,0.5,0.3
114,100,1,0.5,0,0,114,59,41,0,0,10,0.4,0.5,0.3
115,100,1,0.5,0,0,115,55,45,0,0,10,0.4,0.5,0.3
116,100,1,0.5,0,0,116,50,50,0,0,10,0.4,0.5,0.3
117,100,1,0.5,0,0,117,55,45,0,0,10,0.4,0.5,0.3
118,100,1,0.5,0,0,118,60,40,0,0,10,0.4,0.5,0.3
119,100,1,0.5,0,0,119,57,43,0,0,10,0.4,0.5,0.3
