,num_nodes,initial_outbreak_size,virus_spread_chance,num_vaccinated,vaccine_rate,Run,Infected,Resistant,Susceptible,Susceptible and Vaccinated,avg_node_degree,virus_check_frequency,gain_resistance_chance,recovery_chance
0,10,1,0.9,0.5,0.6,0,5,5,0,0,10,0.4,0.5,0.3
1,10,1,0.9,0.5,0.6,1,6,4,0,0,10,0.4,0.5,0.3
2,10,1,0.9,0.5,0.6,2,3,7,0,0,10,0.4,0.5,0.3
3,10,1,0.9,0.5,0.6,3,4,6,0,0,10,0.4,0.5,0.3
4,10,1,0.9,0.5,0.6,4,8,2,0,0,10,0.4,0.5,0.3
5,10,1,0.9,0.5,0.6,5,6,4,0,0,10,0.4,0.5,0.3
6,10,1,0.9,0.5,0.6,6,7,3,0,0,10,0.4,0.5,0.3
7,10,1,0.9,0.5,0.6,7,6,4,0,0,10,0.4,0.5,0.3
8,10,1,0.9,0.5,0.6,8,7,3,0,0,10,0.4,0.5,0.3
9,10,1,0.9,0.5,0.6,9,6,4,0,0,10,0.4,0.5,0.3
10,10,1,0.7,0.5,0.6,10,5,5,0,0,10,0.4,0.5,0.3
11,10,1,0.7,0.5,0.6,11,5,5,0,0,10,0.4,0.5,0.3
12,10,1,0.7,0.5,0.6,12,5,5,0,0,10,0.4,0.5,0.3
13,10,1,0.7,0.5,0.6,13,7,3,0,0,10,0.4,0.5,0.3
14,10,1,0.7,0.5,0.6,14,5,5,0,0,10,0.4,0.5,0.3
15,10,1,0.7,0.5,0.6,15,6,4,0,0,10,0.4,0.5,0.3
16,10,1,0.7,0.5,0.6,16,5,5,0,0,10,0.4,0.5,0.3
17,10,1,0.7,0.5,0.6,17,5,5,0,0,10,0.4,0.5,0.3
18,10,1,0.7,0.5,0.6,18,4,6,0,0,10,0.4,0.5,0.3
19,10,1,0.7,0.5,0.6,19,4,6,0,0,10,0.4,0.5,0.3
20,10,1,0.5,0.5,0.6,20,6,4,0,0,10,0.4,0.5,0.3
21,10,1,0.5,0.5,0.6,21,2,8,0,0,10,0.4,0.5,0.3
22,10,1,0.5,0.5,0.6,22,5,5,0,0,10,0.4,0.5,0.3
23,10,1,0.5,0.5,0.6,23,4,6,0,0,10,0.4,0.5,0.3
24,10,1,0.5,0.5,0.6,24,4,6,0,0,10,0.4,0.5,0.3
25,10,1,0.5,0.5,0.6,25,5,5,0,0,10,0.4,0.5,0.3
26,10,1,0.5,0.5,0.6,26,8,2,0,0,10,0.4,0.5,0.3
27,10,1,0.5,0.5,0.6,27,4,6,0,0,10,0.4,0.5,0.3
28,10,1,0.5,0.5,0.6,28,4,6,0,0,10,0.4,0.5,0.3
29,10,1,0.5,0.5,0.6,29,6,4,0,0,10,0.4,0.5,0.3
30,20,1,0.9,0.5,0.6,30,14,6,0,0,10,0.4,0.5,0.3
31,20,1,0.9,0.5,0.6,31,13,7,0,0,10,0.4,0.5,0.3
32,20,1,0.9,0.5,0.6,32,8,12,0,0,10,0.4,0.5,0.3
33,20,1,0.9,0.5,0.6,33,8,12,0,0,10,0.4,0.5,0.3
34,20,1,0.9,0.5,0.6,34,12,8,0,0,10,0.4,0.5,0.3
35,20,1,0.9,0.5,0.6,35,14,6,0,0,10,0.4,0.5,0.3
36,20,1,0.9,0.5,0.6,36,11,9,0,0,10,0.4,0.5,0.3
37,20,1,0.9,0.5,0.6,37,9,11,0,0,10,0.4,0.5,0.3
38,20,1,0.9,0.5,0.6,38,17,3,0,0,10,0.4,0.5,0.3
39,20,1,0.9,0.5,0.6,39,16,4,0,0,10,0.4,0.5,0.3
40,20,1,0.7,0.5,0.6,40,11,9,0,0,10,0.4,0.5,0.3
41,20,1,0.7,0.5,0.6,41,13,7,0,0,10,0.4,0.5,0.3
42,20,1,0.7,0.5,0.6,42,14,6,0,0,10,0.4,0.5,0.3
43,20,1,0.7,0.5,0.6,43,11,9,0,0,10,0.4,0.5,0.3
44,20,1,0.7,0.5,0.6,44,10,10,0,0,10,0.4,0.5,0.3
45,20,1,0.7,0.5,0.6,45,11,9,0,0,10,0.4,0.5,0.3
46,20,1,0.7,0.5,0.6,46,10,10,0,0,10,0.4,0.5,0.3
47,20,1,0.7,0.5,0.6,47,12,8,0,0,10,0.4,0.5,0.3
48,20,1,0.7,0.5,0.6,48,11,9,0,0,10,0.4,0.5,0.3
49,20,1,0.7,0.5,0.6,49,7,13,0,0,10,0.4,0.5,0.3
50,20,1,0.5,0.5,0.6,50,9,11,0,0,10,0.4,0.5,0.3
51,20,1,0.5,0.5,0.6,51,10,10,0,0,10,0.4,0.5,0.3
52,20,1,0.5,0.5,0.6,52,12,8,0,0,10,0.4,0.5,0.3
53,20,1,0.5,0.5,0.6,53,13,7,0,0,10,0.4,0.5,0.3
54,20,1,0.5,0.5,0.6,54,9,11,0,0,10,0.4,0.5,0.3
55,20,1,0.5,0.5,0.6,55,11,9,0,0,10,0.4,0.5,0.3
56,20,1,0.5,0.5,0.6,56,15,5,0,0,10,0.4,0.5,0.3
57,20,1,0.5,0.5,0.6,57,8,12,0,0,10,0.4,0.5,0.3
58,20,1,0.5,0.5,0.6,58,13,7,0,0,10,0.4,0.5,0.3
59,20,1,0.5,0.5,0.6,59,10,10,0,0,10,0.4,0.5,0.3
60,40,1,0.9,0.5,0.6,60,23,17,0,0,10,0.4,0.5,0.3
61,40,1,0.9,0.5,0.6,61,24,16,0,0,10,0.4,0.5,0.3
62,40,1,0.9,0.5,0.6,62,22,18,0,0,10,0.4,0.5,0.3
63,40,1,0.9,0.5,0.6,63,26,14,0,0,10,0.4,0.5,0.3
64,40,1,0.9,0.5,0.6,64,29,11,0,0,10,0.4,0.5,0.3
65,40,1,0.9,0.5,0.6,65,21,19,0,0,10,0.4,0.5,0.3
66,40,1,0.9,0.5,0.6,66,24,16,0,0,10,0.4,0.5,0.3
67,40,1,0.9,0.5,0.6,67,19,21,0,0,10,0.4,0.5,0.3
68,40,1,0.9,0.5,0.6,68,22,18,0,0,10,0.4,0.5,0.3
69,40,1,0.9,0.5,0.6,69,19,21,0,0,10,0.4,0.5,0.3
70,40,1,0.7,0.5,0.6,70,24,16,0,0,10,0.4,0.5,0.3
71,40,1,0.7,0.5,0.6,71,25,15,0,0,10,0.4,0.5,0.3
72,40,1,0.7,0.5,0.6,72,19,21,0,0,10,0.4,0.5,0.3
73,40,1,0.7,0.5,0.6,73,23,17,0,0,10,0.4,0.5,0.3
74,40,1,0.7,0.5,0.6,74,22,18,0,0,10,0.4,0.5,0.3
75,40,1,0.7,0.5,0.6,75,22,18,0,0,10,0.4,0.5,0.3
76,40,1,0.7,0.5,0.6,76,18,22,0,0,10,0.4,0.5,0.3
77,40,1,0.7,0.5,0.6,77,29,11,0,0,10,0.4,0.5,0.3
78,40,1,0.7,0.5,0.6,78,21,19,0,0,10,0.4,0.5,0.3
79,40,1,0.7,0.5,0.6,79,26,14,0,0,10,0.4,0.5,0.3
80,40,1,0.5,0.5,0.6,80,23,17,0,0,10,0.4,0.5,0.3
81,40,1,0.5,0.5,0.6,81,27,13,0,0,10,0.4,0.5,0.3
82,40,1,0.5,0.5,0.6,82,29,11,0,0,10,0.4,0.5,0.3
83,40,1,0.5,0.5,0.6,83,22,18,0,0,10,0.4,0.5,0.3
84,40,1,0.5,0.5,0.6,84,30,10,0,0,10,0.4,0.5,0.3
85,40,1,0.5,0.5,0.6,85,24,16,0,0,10,0.4,0.5,0.3
86,40,1,0.5,0.5,0.6,86,18,22,0,0,10,0.4,0.5,0.3
87,40,1,0.5,0.5,0.6,87,23,17,0,0,10,0.4,0.5,0.3
88,40,1,0.5,0.5,0.6,88,24,16,0,0,10,0.4,0.5,0.3
89,40,1,0.5,0.5,0.6,89,23,17,0,0,10,0.4,0.5,0.3
90,100,1,0.9,0.5,0.6,90,48,52,0,0,10,0.4,0.5,0.3
91,100,1,0.9,0.5,0.6,91,51,49,0,0,10,0.4,0.5,0.3
92,100,1,0.9,0.5,0.6,92,50,50,0,0,10,0.4,0.5,0.3
93,100,1,0.9,0.5,0.6,93,61,39,0,0,10,0.4,0.5,0.3
94,100,1,0.9,0.5,0.6,94,61,39,0,0,10,0.4,0.5,0.3
95,100,1,0.9,0.5,0.6,95,56,44,0,0,10,0.4,0.5,0.3
96,100,1,0.9,0.5,0.6,96,51,49,0,0,10,0.4,0.5,0.3
97,100,1,0.9,0.5,0.6,97,66,34,0,0,10,0.4,0.5,0.3
98,100,1,0.9,0.5,0.6,98,60,40,0,0,10,0.4,0.5,0.3
99,100,1,0.9,0.5,0.6,99,43,57,0,0,10,0.4,0.5,0.3
100,100,1,0.7,0.5,0.6,100,63,37,0,0,10,0.4,0.5,0.3
101,100,1,0.7,0.5,0.6,101,58,42,0,0,10,0.4,0.5,0.3
