"From","To","Words","Weighted Inclusion Index","Inclusion Index","Occurrences","Stability Index"
"agents--1990-2009","agents--2010-2014","agents;in-vitro;coordination;stability","0.41","0.05","54","0.02"
"agents--1990-2009","growth--2010-2014","water;derivatives;delivery","0.08","0.05","15","0.02"
"agents--1990-2009","simulation--2010-2014","motion","0.03","0.05","7","0.02"
"agents--1990-2009","systems--2010-2014","systems","0.15","0.06","31","0.03"
"behavior--1990-2009","agents--2010-2014","networks","0.03","0.04","11","0.02"
"behavior--1990-2009","behavior--2010-2014","behavior;model;dynamics;evolution;fluctuations;cooperation;emergence;performance;communication;information;time;choice;statistical-mechanics;competition;games;selection;phase-transitions;stock-market;volatility","0.75","0.03","80","0.01"
"behavior--1990-2009","growth--2010-2014","transport;hypothesis;bubbles","0.06","0.03","10","0.01"
"behavior--1990-2009","models--2010-2014","models;optimization;impact","0.13","0.05","12","0.02"
"behavior--1990-2009","simulation--2010-2014","flow;organization","0.04","0.04","7","0.02"
"binding--1990-2009","agents--2010-2014","mechanism;agent;simulations","0.26","0.08","16","0.03"
"binding--1990-2009","growth--2010-2014","binding;molecular-dynamics;force-field;numerical-simulation;aqueous-solution","0.26","0.08","16","0.02"
"binding--1990-2009","simulation--2010-2014","framework","0.05","0.08","6","0.03"
"cells--1990-2009","agents--2010-2014","tissue","0.02","0.04","9","0.02"
"cells--1990-2009","growth--2010-2014","cells;expression;inhibition;protein;activation;resistance","0.16","0.03","21","0.01"
"cells--1990-2009","models--2010-2014","cancer;therapy;disease;mice;efficacy;release;pseudomonas-aeruginosa;identification","0.28","0.05","16","0.02"
"cells--1990-2009","systems--2010-2014","risk","0.05","0.06","10","0.02"
"kinetics--1990-2009","behavior--2010-2014","equilibrium","0.09","0.13","8","0.02"
"kinetics--1990-2009","growth--2010-2014","kinetics;adsorption","0.27","0.13","17","0.02"
"simulation--1990-2009","agents--2010-2014","design;state;temperature","0.14","0.06","12","0.03"
"simulation--1990-2009","behavior--2010-2014","patterns;strategies","0.10","0.06","11","0.02"
"simulation--1990-2009","growth--2010-2014","growth","0.08","0.06","14","0.02"
"simulation--1990-2009","models--2010-2014","diffusion","0.04","0.06","8","0.03"
"simulation--1990-2009","simulation--2010-2014","simulation;mechanisms;recognition;perception","0.41","0.06","49","0.03"
"simulation--1990-2009","systems--2010-2014","management","0.04","0.06","8","0.03"
"system--1990-2009","growth--2010-2014","in-vivo;contrast agents;ultrasound","0.26","0.10","16","0.02"
"system--1990-2009","simulation--2010-2014","system;brain","0.32","0.10","21","0.03"
"agents--2010-2014","agents--2015-2017","agents;networks;design;coordination;consensus;multiagent systems;flocking;stability;algorithms;convergence;leader;synchronization;topology","0.65","0.04","55","0.02"
"agents--2010-2014","behavior--2015-2017","agent","0.03","0.04","11","0.02"
"agents--2010-2014","dynamics--2015-2017","mechanism","0.02","0.04","11","0.02"
"agents--2010-2014","growth--2015-2017","in-vitro;surface;simulations;temperature","0.12","0.04","27","0.01"
"behavior--2010-2014","agents--2015-2017","communication;games;strategy","0.05","0.04","8","0.02"
"behavior--2010-2014","behavior--2015-2017","behavior;model;statistical physics;market;power;fluctuations;policy;volatility","0.62","0.04","123","0.02"
"behavior--2010-2014","dynamics--2015-2017","dynamics;evolution;emergence;cooperation;selection;choice;patterns;time;competition;evolutionary games","0.59","0.03","122","0.01"
"behavior--2010-2014","growth--2015-2017","size;density;strength","0.05","0.02","12","0.01"
"behavior--2010-2014","simulation--2015-2017","performance;information;preferences;strategies","0.11","0.04","17","0.01"
"growth--2010-2014","growth--2015-2017","growth;in-vivo;oscillations;transport;resistance;expression;mechanical-properties;adsorption;nanoparticles;particles;delivery;inhibition;nanocomposites;scattering;water;aqueous-solution;binding;degradation;derivatives;force-field;molecular-dynamics;protein;reduction","0.49","0.02","18","0.01"
"models--2010-2014","agents--2015-2017","network","0.06","0.05","13","0.02"
"models--2010-2014","behavior--2015-2017","diffusion","0.09","0.05","19","0.02"
"models--2010-2014","dynamics--2015-2017","transmission;disease;inference","0.09","0.05","8","0.02"
"models--2010-2014","growth--2015-2017","cancer;efficacy;mice;release;therapy;identification","0.20","0.05","9","0.01"
"models--2010-2014","simulation--2015-2017","models;impact;optimization","0.31","0.05","33","0.02"
"simulation--2010-2014","agents--2015-2017","motion","0.03","0.04","8","0.02"
"simulation--2010-2014","behavior--2015-2017","system;organization;perception","0.12","0.04","26","0.02"
"simulation--2010-2014","dynamics--2015-2017","brain;movement;decision","0.09","0.04","12","0.02"
"simulation--2010-2014","growth--2015-2017","flow;mechanisms","0.08","0.04","15","0.01"
"simulation--2010-2014","simulation--2015-2017","simulation;children;framework","0.32","0.04","79","0.02"
"systems--2010-2014","behavior--2015-2017","risk;social networks","0.10","0.06","16","0.03"
"systems--2010-2014","dynamics--2015-2017","population;spread;agent-based models","0.13","0.06","11","0.02"
"systems--2010-2014","growth--2015-2017","validation;prediction","0.07","0.06","9","0.01"
"systems--2010-2014","simulation--2015-2017","systems;decision-making;management;science;protocol","0.51","0.06","57","0.02"
