"Occurrences","Words","Cluster","Cluster_Label"
"243","agents","1","agents"
"201","networks","1","agents"
"152","design","1","agents"
"143","consensus","1","agents"
"102","multiagent systems","1","agents"
"91","stability","1","agents"
"84","optimization","1","agents"
"74","coordination","1","agents"
"61","synchronization","1","agents"
"49","algorithms","1","agents"
"41","algorithm","1","agents"
"40","communication","1","agents"
"40","flocking","1","agents"
"37","motion","1","agents"
"32","tracking","1","agents"
"32","tracking control","1","agents"
"97","in-vitro","2","in-vitro"
"79","growth","2","in-vitro"
"74","water","2","in-vitro"
"68","flow","2","in-vitro"
"65","adsorption","2","in-vitro"
"65","mechanism","2","in-vitro"
"62","kinetics","2","in-vitro"
"59","mechanisms","2","in-vitro"
"57","agent","2","in-vitro"
"54","expression","2","in-vitro"
"52","cancer","2","in-vitro"
"51","in-vivo","2","in-vitro"
"49","resistance","2","in-vitro"
"49","temperature","2","in-vitro"
"48","mechanical-properties","2","in-vitro"
"48","surface","2","in-vitro"
"47","cells","2","in-vitro"
"47","inhibition","2","in-vitro"
"47","molecular-dynamics","2","in-vitro"
"47","simulations","2","in-vitro"
"47","size","2","in-vitro"
"46","binding","2","in-vitro"
"46","brain","2","in-vitro"
"46","derivatives","2","in-vitro"
"45","prediction","2","in-vitro"
"44","identification","2","in-vitro"
"43","therapy","2","in-vitro"
"42","nanoparticles","2","in-vitro"
"41","force-field","2","in-vitro"
"41","strength","2","in-vitro"
"41","transport","2","in-vitro"
"39","numerical-simulation","2","in-vitro"
"38","activation","2","in-vitro"
"38","protein","2","in-vitro"
