"Paper","Title","DOI","Year","LCS","GCS"
"MOAD G, 1996, MACROMOLECULES DOI 10.1021/MA960851K","USE OF CHAIN LENGTH DISTRIBUTIONS IN DETERMINING CHAIN TRANSFER CONSTANTS AND TERMINATION MECHANISMS","10.1021/ma960851k","1996","3","77"
"BROWN PM, 1996, J ECON DYN CONTROL DOI 10.1016/0165-1889(95)00865-9","EXPERIMENTAL EVIDENCE ON MONEY AS A MEDIUM OF EXCHANGE","10.1016/0165-1889(95)00865-9","1996","3","41"
"THAKKAR MM, 1998, J NEUROSCI DOI","BEHAVIORAL STATE CONTROL THROUGH DIFFERENTIAL SEROTONERGIC INHIBITION IN THE MESOPONTINE CHOLINERGIC NUCLEI: A SIMULTANEOUS UNIT RECORDING AND MICRODIALYSIS STUDY","","1998","3","143"
"BALA V, 1998, REV ECON STUD DOI 10.1111/1467-937X.00059","LEARNING FROM NEIGHBOURS","10.1111/1467-937X.00059","1998","6","294"
"LEBARON B, 1999, J ECON DYN CONTROL DOI 10.1016/S0165-1889(98)00081-5","TIME SERIES PROPERTIES OF AN ARTIFICIAL STOCK MARKET","10.1016/S0165-1889(98)00081-5","1999","23","352"
"KACPERSKI K, 1999, PHYSICA A DOI 10.1016/S0378-4371(99)00174-0","OPINION FORMATION MODEL WITH STRONG LEADER AND EXTERNAL IMPACT: A MEAN FIELD APPROACH","10.1016/S0378-4371(99)00174-0","1999","4","69"
"DEADMAN PJ, 1999, J ENVIRON MANAGE DOI 10.1006/JEMA.1999.0272","MODELLING INDIVIDUAL BEHAVIOUR AND GROUP PERFORMANCE IN AN INTELLIGENT AGENT-BASED SIMULATION OF THE TRAGEDY OF THE COMMONS","10.1006/jema.1999.0272","1999","6","58"
"EL-NASR MS, 2000, AUTON AGENT MULTI-AG DOI 10.1023/A:1010030809960","FLAME - FUZZY LOGIC ADAPTIVE MODEL OF EMOTIONS","10.1023/A:1010030809960","2000","7","228"
"CHEN SH, 2001, J ECON BEHAV ORGAN DOI 10.1016/S0167-2681(01)00181-0","TESTING FOR NON-LINEAR STRUCTURE IN AN ARTIFICIAL FINANCIAL MARKET","10.1016/S0167-2681(01)00181-0","2001","5","49"
"BARNER-KOWOLLIK C, 2001, MACROMOLECULES DOI 10.1021/MA010349M","KINETIC INVESTIGATIONS OF REVERSIBLE ADDITION FRAGMENTATION CHAIN TRANSFER POLYMERIZATIONS: CUMYL PHENYLDITHIOACETATE MEDIATED HOMOPOLYMERIZATIONS OF STYRENE AND METHYL METHACRYLATE","10.1021/ma010349m","2001","5","308"
"PIOCH T, 2001, AM J DENT DOI","EFFECT OF INTRAPULPAL PRESSURE SIMULATION IN VITRO ON SHEAR BOND STRENGTHS AND HYBRID LAYER FORMATION","","2001","6","32"
"DUFFY J, 2001, J ECON DYN CONTROL DOI 10.1016/S0165-1889(00)00028-2","LEARNING TO SPECULATE: EXPERIMENTS WITH ARTIFICIAL AND REAL AGENTS","10.1016/S0165-1889(00)00028-2","2001","4","59"
"CHEN SH, 2001, J ECON DYN CONTROL DOI 10.1016/S0165-1889(00)00030-0","EVOLVING TRADERS AND THE BUSINESS SCHOOL WITH GENETIC PROGRAMMING: A NEW ARCHITECTURE OF THE AGENT-BASED ARTIFICIAL STOCK MARKET","10.1016/S0165-1889(00)00030-0","2001","4","132"
"JANSSEN MA, 2002, J EVOL ECON DOI 10.1007/S00191-002-0120-1","STIMULATING DIFFUSION OF GREEN PRODUCTS - CO-EVOLUTION BETWEEN FIRMS AND CONSUMERS","10.1007/s00191-002-0120-1","2002","7","151"
"COSENTINO U, 2002, J AM CHEM SOC DOI 10.1021/JA017666T","CONFORMATIONAL CHARACTERIZATION OF LANTHANIDE(III)-DOTA COMPLEXES BY AB INITIO INVESTIGATION IN VACUO AND IN AQUEOUS SOLUTION","10.1021/ja017666t","2002","3","90"
"SMITH E, 2003, QUANT FINANC DOI 10.1088/1469-7688/3/6/307","STATISTICAL THEORY OF THE CONTINUOUS DOUBLE AUCTION","10.1088/1469-7688/3/6/307","2003","6","165"
"LAGUNA MF, 2003, PHYSICA A DOI 10.1016/S0378-4371(03)00628-9","VECTOR OPINION DYNAMICS IN A MODEL FOR SOCIAL INFLUENCE","10.1016/S0378-4371(03)00628-9","2003","4","28"
"VERSCHURE PFMJ, 2003, NATURE DOI 10.1038/NATURE02024","ENVIRONMENTALLY MEDIATED SYNERGY BETWEEN PERCEPTION AND BEHAVIOUR IN MOBILE ROBOTS","10.1038/nature02024","2003","5","139"
"FEUILLETTE S, 2003, ENVIRON MODELL SOFTW DOI 10.1016/S1364-8152(03)00006-9","SINUSE: A MULTI-AGENT MODEL TO NEGOTIATE WATER DEMAND MANAGEMENT ON A FREE ACCESS WATER TABLE","10.1016/S1364-8152(03)00006-9","2003","4","66"
"FORTUNATO S, 2004, INT J MOD PHYS C DOI 10.1142/S0129183104006728","UNIVERSALITY OF THE THRESHOLD FOR COMPLETE CONSENSUS FOR THE OPINION DYNAMICS OF DEFFUANT ET AL.","10.1142/S0129183104006728","2004","10","67"
"AN G, 2004, CRIT CARE MED DOI 10.1097/01.CCM.0000139707.13729.7D","IN SILICO EXPERIMENTS OF EXISTING AND HYPOTHETICAL CYTOKINE-DIYECTED CLINICAL TRIALS USING AGENT-BASED MODELING","10.1097/01.CCM.0000139707.13729.7D","2004","9","123"
"MANSURY Y, 2004, PHYSICA D DOI 10.1016/J.PHYSD.2004.04.008","SIMULATING THE TIME SERIES OF A SELECTED GENE EXPRESSION PROFILE IN AN AGENT-BASED TUMOR MODEL","10.1016/j.physd.2004.04.008","2004","5","15"
"PRATT SC, 2005, ANIM BEHAV DOI 10.1016/J.ANBEHAV.2005.01.022","AN AGENT-BASED MODEL OF COLLECTIVE NEST CHOICE BY THE ANT TEMNOTHORAX ALBIPENNIS","10.1016/j.anbehav.2005.01.022","2005","4","92"
"FERNANDEZ LE, 2005, ENVIRON PLANN B DOI 10.1068/B3071","CHARACTERIZING LOCATION PREFERENCES IN AN EXURBAN POPULATION: IMPLICATIONS FOR AGENT-BASED MODELING","10.1068/b3071","2005","4","36"
"BOERO R, 2005, JASSS-J ARTIF SOC S DOI","DOES EMPIRICAL EMBEDDEDNESS MATTER? METHODOLOGICAL ISSUES ON AGENT-BASED MODELS FOR ANALYTICAL SOCIAL SCIENCE","","2005","23","122"
"BALBOSH A, 2005, J PROSTHET DENT DOI 10.1016/J.PROSDENT.2005.05.025","COMPARISON OF TITANIUM DOWEL RETENTION USING FOUR DIFFERENT LUTING AGENTS","10.1016/j.prosdent.2005.05.025","2005","3","37"
"SBOROS V, 2005, ULTRASOUND MED BIOL DOI 10.1016/J.ULTRASMEDBIO.2005.04.018","ABSOLUTE MEASUREMENT OF ULTRASONIC BACKSCATTER FROM SINGLE MICROBUBBLES","10.1016/j.ultrasmedbio.2005.04.018","2005","4","40"
"MU SM, 2005, PHYSICA A DOI 10.1016/J.PHYSA.2004.12.054","COORDINATED COLLECTIVE MOTION IN A MOTILE PARTICLE GROUP WITH A LEADER","10.1016/j.physa.2004.12.054","2005","4","68"
"EMONET T, 2005, BIOINFORMATICS DOI 10.1093/BIOINFORMATICS/BTI391","AGENTCELL: A DIGITAL SINGLE-CELL ASSAY FOR BACTERIAL CHEMOTAXIS","10.1093/bioinformatics/bti391","2005","5","87"
"CASTELLA JC, 2005, ECOL SOC DOI","PARTICIPATORY SIMULATION OF LAND-USE CHANGES IN THE NORTHERN MOUNTAINS OF VIETNAM: THE COMBINED USE OF AN AGENT-BASED MODEL, A ROLE-PLAYING GAME, AND A GEOGRAPHIC INFORMATION SYSTEM","","2005","15","158"
"ERDMANN U, 2005, PHYS REV E DOI 10.1103/PHYSREVE.71.051904","NOISE-INDUCED TRANSITION FROM TRANSLATIONAL TO ROTATIONAL MOTION OF SWARMS","10.1103/PhysRevE.71.051904","2005","4","117"
"LAKOBA TI, 2005, SIMUL-T SOC MOD SIM DOI 10.1177/0037549705052772","MODIFICATIONS OF THE HELBING-MOLNAR-FARKAS-VICSEK SOCIAL FORCE MODEL FOR PEDESTRIAN EVOLUTION","10.1177/0037549705052772","2005","7","229"
"ATHALE C, 2005, J THEOR BIOL DOI 10.1016/J.JTBI.2004.10.019","SIMULATING THE IMPACT OF A MOLECULAR 'DECISION-PROCESS' ON CELLULAR PHENOTYPE AND MULTICELLULAR PATTERNS IN BRAIN TUMORS","10.1016/j.jtbi.2004.10.019","2005","5","73"
"KRAWIECKI A, 2005, INT J MOD PHYS C DOI 10.1142/S0129183105007285","MICROSCOPIC SPIN MODEL FOR THE STOCK MARKET WITH ATTRACTOR BUBBLING AND HETEROGENEOUS AGENTS","10.1142/S0129183105007285","2005","8","34"
"FORTUNATO S, 2005, INT J MOD PHYS C DOI 10.1142/S0129183105007078","ON THE CONSENSUS THRESHOLD FOR THE OPINION DYNAMICS OF KRAUSE-HEGSELMANN","10.1142/S0129183105007078","2005","4","64"
"KURZBAN R, 2005, P NATL ACAD SCI USA DOI 10.1073/PNAS.0408759102","EXPERIMENTS INVESTIGATING COOPERATIVE TYPES IN HUMANS: A COMPLEMENT TO EVOLUTIONARY THEORY AND SIMULATIONS","10.1073/pnas.0408759102","2005","4","222"
"EGUILUZ VM, 2005, AM J SOCIOL DOI 10.1086/428716","COOPERATION AND THE EMERGENCE OF ROLE DIFFERENTIATION IN THE DYNAMICS OF SOCIAL NETWORKS","10.1086/428716","2005","4","187"
"MOSS S, 2005, AM J SOCIOL DOI 10.1086/427320","SOCIOLOGY AND SIMULATION: STATISTICAL AND QUALITATIVE CROSS-VALIDATION","10.1086/427320","2005","16","102"
"CHU TG, 2006, CHAOS SOLITON FRACT DOI 10.1016/J.CHAOS.2005.08.133","COMPLEX EMERGENT DYNAMICS OF ANISOTROPIC SWARMS: CONVERGENCE VS OSCILLATION","10.1016/j.chaos.2005.08.133","2006","4","73"
"HAPPE K, 2006, ECOL SOC DOI","AGENT-BASED ANALYSIS OF AGRICULTURAL POLICIES: AN ILLUSTRATION OF THE AGRICULTURAL POLICY SIMULATOR AGRIPOLIS, ITS ADAPTATION AND BEHAVIOR","","2006","12","135"
"CARLEY KM, 2006, IEEE T SYST MAN CY A DOI 10.1109/TSMCA.2005.851291","BIOWAR: SCALABLE AGENT-BASED MODEL OF BIOATTACKS","10.1109/TSMCA.2005.851291","2006","5","105"
"ATHALE CA, 2006, J THEOR BIOL DOI 10.1016/J.JTBI.2005.06.029","THE EFFECTS OF EGF-RECEPTOR DENSITY ON MULTISCALE TUMOR GROWTH PATTERNS","10.1016/j.jtbi.2005.06.029","2006","4","53"
"SHI H, 2006, PHYSICA D DOI 10.1016/J.PHYSD.2005.10.012","VIRTUAL LEADER APPROACH TO COORDINATED CONTROL OF MULTIPLE MOBILE AGENTS WITH ASYMMETRIC INTERACTIONS","10.1016/j.physd.2005.10.012","2006","15","141"
"LI X, 2007, J ENVIRON MANAGE DOI 10.1016/J.JENVMAN.2006.11.006","DEFINING AGENTS' BEHAVIORS TO SIMULATE COMPLEX RESIDENTIAL DEVELOPMENT USING MULTICRITERIA EVALUATION","10.1016/j.jenvman.2006.11.006","2007","8","61"
"MATTHEWS RB, 2007, LANDSCAPE ECOL DOI 10.1007/S10980-007-9135-1","AGENT-BASED LAND-USE MODELS: A REVIEW OF APPLICATIONS","10.1007/s10980-007-9135-1","2007","34","465"
"HEBLING J, 2007, J BIOMED MATER RES B DOI 10.1002/JBM.B.30795","ADHESIVE PERFORMANCE OF DENTIN BONDING AGENTS APPLIED IN VIVO AND IN VITRO. EFFECT OF INTRAPULPAL PRESSURE AND DENTIN DEPTH","10.1002/jbm.b.30795","2007","3","26"
"HE XZ, 2007, J ECON DYN CONTROL DOI 10.1016/J.JEDC.2006.11.008","POWER-LAW BEHAVIOUR, HETEROGENEITY, AND TREND CHASING","10.1016/j.jedc.2006.11.008","2007","5","61"
"BILLARI FC, 2007, DEMOGR RES DOI 10.4054/DEMRES.2007.17.3","THE ""WEDDING-RING"": AN AGENT-BASED MARRIAGE MODEL BASED ON SOCIAL INTERACTION","10.4054/DemRes.2007.17.3","2007","10","51"
"MIDGLEY D, 2007, J BUS RES DOI 10.1016/J.JBUSRES.2007.02.004","BUILDING AND ASSURANCE OF AGENT-BASED MODELS: AN EXAMPLE AND CHALLENGE TO THE FIELD","10.1016/j.jbusres.2007.02.004","2007","5","62"
