"item","freq","year_q1","year_med","year_q3"
"stimulation","6","1996","1998","2000"
"heparin","5","1996","1998","2004"
"pharmacology","5","1996","1998","2015"
"invitro","10","1997","2002","2004"
"rabbit","5","1993","2002","2013"
"tumor-necrosis-factor","13","2002","2003","2014"
"blockade","5","2000","2003","2017"
"lipopolysaccharide","5","2002","2003","2007"
"molecular-weight distributions","5","2001","2003","2006"
"induction","20","1996","2004","2010"
"plasma","8","1996","2004","2013"
"samples","5","1998","2004","2014"
"tumors","9","2002","2005","2015"
"smooth-muscle","6","2002","2005","2009"
"epithelial-cells","5","2003","2005","2015"
"factor-alpha","5","2003","2005","2016"
"transformation","5","1995","2005","2014"
"methyl-methacrylate","11","2003","2006","2012"
"free-radical polymerization","9","2001","2006","2006"
"chelating-agents","6","1996","2006","2015"
"transfer raft polymerization","5","2003","2006","2006"
"nucleic-acids","12","2000","2007","2016"
"fluid","11","2004","2007","2014"
"cell","9","2005","2007","2012"
"styrene","8","2004","2007","2013"
"drug-resistance","7","2001","2007","2017"
"rats","31","2002","2008","2016"
"dna","16","1998","2008","2015"
"herd behavior","11","2006","2008","2015"
"magnetic-resonance","8","2006","2008","2011"
"propagation","8","2006","2008","2016"
"metabolism","19","2006","2009","2018"
"destruction","11","2006","2009","2012"
"anesthesia","10","2007","2009","2014"
"classification","9","2004","2009","2020"
"microspheres","9","2000","2009","2013"
"blood-flow","16","2005","2010","2014"
"clinical-trials","14","2006","2010","2016"
"imitation","14","2009","2010","2013"
"pseudomonas-aeruginosa","14","2005","2010","2010"
"returns","14","2008","2010","2016"
"recognition","21","2006","2011","2014"
"receptor","19","2001","2011","2016"
"ultrasound","18","2008","2011","2014"
"relaxation","17","2002","2011","2015"
"stability analysis","13","2008","2011","2013"
"cells","47","2002","2012","2017"
"activation","38","2008","2012","2018"
"fluctuations","34","2007","2012","2017"
"mice","28","2003","2012","2015"
