"Node","Cluster","Betweenness","Closeness","PageRank"
"peking univ","1","0","0.0020746887966805","0.0393391402215114"
"beijing jiaotong univ","1","13.1052631578947","0.00209643605870021","0.0310393300571392"
"beihang univ","1","11.1184210526316","0.00209205020920502","0.035240134905611"
"southeast univ","1","23.0131578947368","0.00212765957446809","0.0436144151199409"
"univ pittsburgh","2","0","0.00104058272632674","0.03125"
"carnegie mellon univ","2","0","0.00104058272632674","0.03125"
"stanford univ","3","89.8815789473684","0.00218340611353712","0.045171659336518"
"univ calif berkeley","3","45","0.00213219616204691","0.0270718654250336"
"univ minnesota","3","0","0.00210526315789474","0.0132199245413423"
"univ penn","3","78.8947368421053","0.00217864923747277","0.0277319657462594"
"huazhong univ sci and technol","4","0","0.00194552529182879","0.0237560136073973"
"univ virginia","4","32","0.0020746887966805","0.0281933194500594"
"shanghai jiao tong univ","4","17","0.00201207243460765","0.0392587044858181"
"zhejiang univ","5","0","0.00104058272632674","0.03125"
"chinese univ hong kong","5","0","0.00104058272632674","0.03125"
"univ maryland","6","0","0.00206611570247934","0.0225286132219395"
"univ washington","6","0","0.002","0.0163183561924444"
"univ n carolina","6","0","0.00206611570247934","0.0318793959977894"
"northwestern univ","6","17","0.0020703933747412","0.0273667204528103"
"duke univ","6","60","0.00213675213675214","0.0518153981719562"
"univ oxford","7","0","0.0020746887966805","0.0248712010444886"
"univ cambridge","7","44.9868421052632","0.00214592274678112","0.0446069518519787"
"univ edinburgh","7","0","0.0020746887966805","0.0207268901699625"
"tongji univ","8","0","0.00104058272632674","0.03125"
"univ calif los angeles","8","0","0.00104058272632674","0.03125"
"univ michigan","9","3","0.00114810562571757","0.0384290540540541"
"harvard univ","9","4","0.00114942528735632","0.037352195945946"
"univ groningen","9","0","0.0011441647597254","0.021019847972973"
"univ illinois","9","0","0.0011441647597254","0.021019847972973"
"princeton univ","9","3","0.00114810562571757","0.0384290540540541"
"nanyang technol univ","10","0","0.00104058272632674","0.03125"
"univ amsterdam","10","0","0.00104058272632674","0.03125"
