Description;Results
MAIN INFORMATION ABOUT DATA;
Timespan;1992:2022
Sources (Journals, Books, etc);136
Documents;1975
Average years from publication;7
Average citations per documents;18,86
Average citations per year per doc;2,168
References;64602
DOCUMENT TYPES;
article;1975
DOCUMENT CONTENTS;
Keywords Plus (ID);3618
Author's Keywords (DE);5115
AUTHORS;
Authors;5321
Author Appearances;6659
Authors of single-authored documents;171
Authors of multi-authored documents;5150
AUTHORS COLLABORATION;
Single-authored documents;194
Documents per Author;0,371
Authors per Document;2,69
Co-Authors per Documents;3,37
Collaboration Index;2,89
