Document;DOI;Year;Local Citations;Global Citations;LC/GC Ratio (%);Normalized Local Citations;Normalized Global Citations
SU HS, 2009, IEEE T AUTOMAT CONTR;10.1109/TAC.2008.2010897;2009;32;623;5,14;26.18;15,34
MATTHEWS RB, 2007, LANDSCAPE ECOL;10.1007/s10980-007-9135-1;2007;29;485;5,98;25.18;14,24
MULLER B, 2013, ENVIRON MODELL SOFTW;10.1016/j.envsoft.2013.06.003;2013;29;203;14,29;29.00;7,07
LI HQ, 2015, IEEE T AUTOMAT CONTR;10.1109/TAC.2014.2365073;2015;29;354;8,19;36.66;16,01
MOSS S, 2008, JASSS-J ARTIF SOC S;;2008;22;103;21,36;20.29;2,53
RAND W, 2011, INT J RES MARK;10.1016/j.ijresmar.2011.04.002;2011;22;238;9,24;17.70;7,29
LEBARON B, 1999, J ECON DYN CONTROL;10.1016/S0165-1889(98)00081-5;1999;21;358;5,87;11.81;5,20
SMAJGL A, 2011, ENVIRON MODELL SOFTW;10.1016/j.envsoft.2011.02.011;2011;20;133;15,04;16.09;4,07
BOERO R, 2005, JASSS-J ARTIF SOC S;;2005;19;128;14,84;10.52;2,42
SCHWARZ N, 2009, TECHNOL FORECAST SOC;10.1016/j.techfore.2008.03.024;2009;18;170;10,59;14.73;4,19
CASTELLA JC, 2005, ECOL SOC;;2005;13;162;8,02;7.20;3,06
SHI H, 2006, PHYSICA D;10.1016/j.physd.2005.10.012;2006;13;141;9,22;14.96;4,12
MOSS S, 2005, AM J SOCIOL;10.1086/427320;2005;12;104;11,54;6.64;1,97
HAPPE K, 2006, ECOL SOC;;2006;12;139;8,63;13.81;4,06
FENG L, 2012, P NATL ACAD SCI USA;10.1073/pnas.1205013109;2012;12;99;12,12;11.38;3,56
LORENZ J, 2010, COMPLEXITY;10.1002/cplx.20295;2010;11;93;11,83;12.51;3,44
BILLARI FC, 2007, DEMOGR RES;10.4054/DemRes.2007.17.3;2007;10;53;18,87;8.68;1,56
JOO J, 2013, SIMUL MODEL PRACT TH;10.1016/j.simpat.2012.12.007;2013;10;78;12,82;10.00;2,72
ZHU JD, 2013, IEEE T CIRCUITS-I;10.1109/TCSI.2012.2215715;2013;10;119;8,40;10.00;4,15
FORTUNATO S, 2004, INT J MOD PHYS C;10.1142/S0129183104006728;2004;9;68;13,24;14.40;1,58
KNIVETON D, 2011, GLOBAL ENVIRON CHANG;10.1016/j.gloenvcha.2011.09.006;2011;9;104;8,65;7.24;3,19
FANG W, 2012, INT J MOD PHYS C;10.1142/S0129183112500234;2012;9;55;16,36;8.54;1,98
SUN ZL, 2013, ENVIRON MODELL SOFTW;10.1016/j.envsoft.2012.06.007;2013;9;86;10,47;9.00;3,00
ZHANG ZQ, 2014, INT J CONTROL;10.1080/00207179.2013.873952;2014;9;106;8,49;12.71;5,04
GE XH, 2018, IEEE T IND ELECTRON;10.1109/TIE.2017.2752148;2018;9;170;5,29;19.90;13,93
LIU J, 2019, INFORM SCIENCES;10.1016/j.ins.2018.12.037;2019;9;60;15,00;26.26;6,79
KRAWIECKI A, 2005, INT J MOD PHYS C;10.1142/S0129183105007285;2005;8;34;23,53;4.43;0,64
LE QB, 2008, ECOL INFORM;10.1016/j.ecoinf.2008.04.003;2008;8;109;7,34;7.38;2,68
VALBUENA D, 2010, LANDSCAPE ECOL;10.1007/s10980-009-9380-6;2010;8;151;5,30;9.10;5,58
FRISTON KJ, 2010, BIOL CYBERN;10.1007/s00422-010-0364-z;2010;8;350;2,29;9.10;12,93
FLACHE A, 2011, J CONFLICT RESOLUT;10.1177/0022002711414371;2011;8;64;12,50;6.43;1,96
ZHANG T, 2011, J PROD INNOVAT MANAG;10.1111/j.1540-5885.2011.00789.x;2011;8;124;6,45;6.43;3,80
CROKIDAKIS N, 2012, PHYS REV E;10.1103/PhysRevE.86.061127;2012;8;46;17,39;7.59;1,66
WANG C, 2013, IEEE T AUTOMAT CONTR;10.1109/TAC.2013.2263653;2013;8;97;8,25;8.00;3,38
JI LH, 2014, INFORM SCIENCES;10.1016/j.ins.2014.07.024;2014;8;50;16,00;11.30;2,38
RAI V, 2015, ENVIRON MODELL SOFTW;10.1016/j.envsoft.2015.04.014;2015;8;132;6,06;10.11;5,97
GHAPANI S, 2016, AUTOMATICA;10.1016/j.automatica.2016.01.004;2016;8;102;7,84;14.62;5,88
TAN XG, 2019, IEEE T CYBERNETICS;10.1109/TCYB.2017.2786474;2019;8;111;7,21;23.34;12,56
EL-NASR MS, 2000, AUTON AGENT MULTI-AG;10.1023/A:1010030809960;2000;7;233;3,00;12.44;7,18
LAKOBA TI, 2005, SIMUL-T SOC MOD SIM;10.1177/0037549705052772;2005;7;240;2,92;3.88;4,54
LE QB, 2010, ECOL INFORM;10.1016/j.ecoinf.2010.02.001;2010;7;77;9,09;7.96;2,85
FRANKE R, 2011, COMPUT ECON;10.1007/s10614-010-9238-7;2011;7;33;21,21;5.63;1,01
ZHANG HT, 2011, IEEE T AUTOMAT CONTR;10.1109/TAC.2010.2089652;2011;7;117;5,98;5.63;3,58
SHIGAKI K, 2012, PHYS REV E;10.1103/PhysRevE.86.031141;2012;7;85;8,24;6.64;3,06
FRANKE R, 2012, J ECON DYN CONTROL;10.1016/j.jedc.2011.10.004;2012;7;94;7,45;6.64;3,38
WEN GH, 2012, INT J ROBUST NONLIN;10.1002/rnc.1784;2012;7;62;11,29;6.64;2,23
ELSAWAH S, 2015, J ENVIRON MANAGE;10.1016/j.jenvman.2014.11.028;2015;7;86;8,14;8.85;3,89
LI HQ, 2015, NEURAL NETWORKS;10.1016/j.neunet.2015.01.006;2015;7;143;4,90;8.85;6,47
LIU XD, 2018, INT J ROBUST NONLIN;10.1002/rnc.3857;2018;7;42;16,67;15.48;3,44
LIU J, 2019, IEEE T SYST MAN CY-S;10.1109/TSMC.2018.2876334;2019;7;112;6,25;20.42;12,67
