"Year","N","MeanTCperArt","MeanTCperYear","CitableYears"
"1990","3","11.6666666666667","0.364583333333333","32"
"1991","11","27.8181818181818","0.897360703812317","31"
"1992","27","39.5185185185185","1.31728395061728","30"
"1993","17","31.4117647058824","1.08316430020284","29"
"1994","25","39.68","1.41714285714286","28"
"1995","35","39.4857142857143","1.46243386243386","27"
"1996","50","35.4","1.36153846153846","26"
"1997","41","33.780487804878","1.35121951219512","25"
"1998","42","38.7619047619048","1.61507936507936","24"
"1999","46","45.8478260869565","1.99338374291115","23"
"2000","42","40.5476190476191","1.84307359307359","22"
"2001","72","43.75","2.08333333333333","21"
"2002","55","38.8727272727273","1.94363636363636","20"
"2003","61","41.3114754098361","2.17428817946506","19"
"2004","61","45.5245901639344","2.52914389799636","18"
"2005","107","42.9252336448598","2.52501374381528","17"
"2006","98","33.0816326530612","2.06760204081633","16"
"2007","130","35.0846153846154","2.33897435897436","15"
"2008","148","147.716216216216","10.5511583011583","14"
"2009","163","33.4723926380368","2.57479943369514","13"
