,Fine,On Fire,Burned Out,Escaped the Fire
0,5398,5,0,0
1,5382,9,10,2
2,5371,4,25,3
3,5340,15,41,7
4,5308,19,71,5
5,5274,22,102,5
6,5233,24,137,9
7,5174,35,181,13
8,5083,54,249,17
9,4991,54,332,26
10,4856,72,450,25
11,4730,63,577,33
12,4590,67,712,34
13,4439,78,854,32
14,4235,95,1040,33
15,4065,98,1202,38
16,3833,118,1398,54
17,3613,122,1615,53
18,3424,94,1833,52
19,3235,105,2003,60
20,3060,97,2179,67
21,2858,112,2368,65
22,2646,119,2561,77
23,2436,106,2795,66
24,2259,88,2986,70
25,2143,66,3123,71
26,2036,61,3235,71
27,1882,82,3362,77
28,1731,82,3510,80
29,1596,69,3652,86
30,1448,77,3791,87
31,1354,58,3901,90
32,1222,75,4006,100
33,1072,87,4147,97
34,946,72,4290,95
35,831,62,4414,96
36,753,45,4507,98
37,688,39,4583,93
38,609,41,4663,90
39,554,35,4725,89
40,505,28,4782,88
41,450,28,4833,92
42,399,21,4894,89
43,370,16,4923,94
44,323,27,4960,93
45,281,23,5006,93
46,263,16,5034,90
47,243,16,5055,89
48,206,16,5091,90
49,188,8,5116,91
50,180,5,5128,90
51,170,7,5136,90
52,164,4,5146,89
53,152,5,5157,89
54,148,1,5168,86
55,148,0,5169,86
