Description;Results
MAIN INFORMATION ABOUT DATA;
Timespan;2017:2022
Sources (Journals, Books, etc);94
Documents;240
Average years from publication;1,57
Average citations per documents;7,242
Average citations per year per doc;2,158
References;9205
DOCUMENT TYPES;
article;240
DOCUMENT CONTENTS;
Keywords Plus (ID);199
Author's Keywords (DE);884
AUTHORS;
Authors;768
Author Appearances;841
Authors of single-authored documents;21
Authors of multi-authored documents;747
AUTHORS COLLABORATION;
Single-authored documents;21
Documents per Author;0,312
Authors per Document;3,2
Co-Authors per Documents;3,5
Collaboration Index;3,41
