Age,M,F,,
0-4,7454197,7117753,,"{'age':'0-4', 'pop_m':7454197, 'pop_f':7117753},"
5-9,7469798,7146432,,"{'age':'5-9', 'pop_m':7469798, 'pop_f':7146432},"
10-14,7727130,7424459,,"{'age':'10-14', 'pop_m':7727130, 'pop_f':7424459},"
15-19,8383635,8097851,,"{'age':'15-19', 'pop_m':8383635, 'pop_f':8097851},"
20-24,8711984,8494800,,"{'age':'20-24', 'pop_m':8711984, 'pop_f':8494800},"
25-29,8542090,8432526,,"{'age':'25-29', 'pop_m':8542090, 'pop_f':8432526},"
30-34,8623220,8639595,,"{'age':'30-34', 'pop_m':8623220, 'pop_f':8639595},"
35-39,8511655,8661714,,"{'age':'35-39', 'pop_m':8511655, 'pop_f':8661714},"
40-44,7523486,7780880,,"{'age':'40-44', 'pop_m':7523486, 'pop_f':7780880},"
45-49,6616618,6981933,,"{'age':'45-49', 'pop_m':6616618, 'pop_f':6981933},"
50-54,6107921,6593438,,"{'age':'50-54', 'pop_m':6107921, 'pop_f':6593438},"
55-59,5376802,5948447,,"{'age':'55-59', 'pop_m':5376802, 'pop_f':5948447},"
60-64,4275622,4880012,,"{'age':'60-64', 'pop_m':4275622, 'pop_f':4880012},"
65-69,3261073,3875478,,"{'age':'65-69', 'pop_m':3261073, 'pop_f':3875478},"
70-74,2234841,2810744,,"{'age':'70-74', 'pop_m':2234841, 'pop_f':2810744},"
75-79,1422037,1933468,,"{'age':'75-79', 'pop_m':1422037, 'pop_f':1933468},"
80-84,888580,1342561,"{'age':'80-84', 'pop_h':888580, 'pop_m':1342561},",
85-89,402311,714933,"{'age':'85-89', 'pop_h':402311, 'pop_m':714933},",
90-94,156399,331531,"{'age':'90-94', 'pop_h':156399, 'pop_m':331531},",
95-99,38661,94171,"{'age':'95-99', 'pop_h':38661, 'pop_m':94171},",
100+,5100,13633,"{'age':'100+', 'pop_h':5100, 'pop_m':13633},",
80-120,1491051,2496829,,"{'age':'80-120', 'pop_m':1491051, 'pop_f':2496829},"
,,,,"{'age':'0-4', 'pop_m':7454197, 'pop_f':7117753},{'age':'5-9', 'pop_m':7469798, 'pop_f':7146432},{'age':'10-14', 'pop_m':7727130, 'pop_f':7424459},{'age':'15-19', 'pop_m':8383635, 'pop_f':8097851},{'age':'20-24', 'pop_m':8711984, 'pop_f':8494800},{'age':'25-29', 'pop_m':8542090, 'pop_f':8432526},{'age':'30-34', 'pop_m':8623220, 'pop_f':8639595},{'age':'35-39', 'pop_m':8511655, 'pop_f':8661714},{'age':'40-44', 'pop_m':7523486, 'pop_f':7780880},{'age':'45-49', 'pop_m':6616618, 'pop_f':6981933},{'age':'50-54', 'pop_m':6107921, 'pop_f':6593438},{'age':'55-59', 'pop_m':5376802, 'pop_f':5948447},{'age':'60-64', 'pop_m':4275622, 'pop_f':4880012},{'age':'65-69', 'pop_m':3261073, 'pop_f':3875478},{'age':'70-74', 'pop_m':2234841, 'pop_f':2810744},{'age':'75-79', 'pop_m':1422037, 'pop_f':1933468},{'age':'80-120', 'pop_m':1491051, 'pop_f':2496829},"
