Step,AgentID,Steps to fire up
44,"(0, 0)",0
44,"(0, 1)",0
44,"(0, 2)",0
44,"(0, 3)",0
44,"(0, 5)",0
44,"(0, 7)",0
44,"(0, 9)",0
44,"(0, 10)",0
44,"(0, 11)",0
44,"(0, 13)",0
44,"(0, 14)",0
44,"(0, 15)",0
44,"(0, 16)",0
44,"(0, 17)",0
44,"(0, 18)",0
44,"(0, 19)",0
44,"(0, 20)",0
44,"(0, 22)",0
44,"(0, 27)",0
44,"(0, 28)",0
44,"(0, 29)",0
44,"(0, 31)",0
44,"(0, 34)",0
44,"(0, 35)",0
44,"(0, 36)",0
44,"(0, 37)",0
44,"(0, 38)",0
44,"(0, 39)",0
44,"(0, 40)",0
44,"(0, 42)",0
44,"(0, 43)",0
44,"(0, 44)",0
44,"(0, 45)",0
44,"(0, 47)",0
44,"(0, 48)",0
44,"(0, 49)",0
44,"(0, 50)",0
44,"(0, 51)",0
44,"(0, 53)",0
44,"(0, 56)",0
44,"(0, 57)",0
44,"(0, 58)",0
44,"(0, 60)",0
44,"(0, 61)",0
44,"(0, 62)",0
44,"(0, 64)",0
44,"(0, 65)",0
44,"(0, 66)",0
44,"(0, 67)",0
44,"(0, 68)",0
44,"(0, 69)",0
44,"(0, 70)",0
44,"(0, 71)",0
44,"(0, 72)",0
44,"(0, 73)",0
44,"(0, 74)",0
44,"(0, 75)",0
44,"(0, 76)",0
44,"(0, 77)",0
44,"(0, 78)",0
44,"(0, 79)",0
44,"(0, 80)",0
44,"(0, 81)",0
44,"(0, 82)",0
44,"(0, 84)",0
44,"(0, 85)",0
44,"(0, 86)",0
44,"(0, 87)",0
44,"(0, 88)",0
44,"(0, 89)",0
44,"(0, 91)",0
44,"(0, 92)",0
44,"(0, 94)",0
44,"(0, 95)",0
44,"(0, 97)",0
44,"(0, 98)",0
44,"(0, 99)",0
44,"(1, 0)",1
44,"(1, 1)",1
44,"(1, 2)",1
44,"(1, 3)",1
44,"(1, 4)",1
44,"(1, 7)",4
44,"(1, 8)",1
44,"(1, 10)",1
44,"(1, 11)",1
44,"(1, 13)",1
44,"(1, 15)",1
44,"(1, 16)",1
44,"(1, 19)",1
44,"(1, 20)",1
44,"(1, 22)",1
44,"(1, 23)",1
44,"(1, 24)",-1
44,"(1, 25)",-1
44,"(1, 28)",1
44,"(1, 29)",2
44,"(1, 30)",1
44,"(1, 31)",2
44,"(1, 32)",1
