,Fine,On Fire,Burned Out
0,5938,59,0
1,5871,36,90
2,5799,44,154
3,5713,52,232
4,5628,44,325
5,5546,46,405
6,5460,48,489
7,5414,24,559
8,5369,20,608
9,5320,24,653
10,5265,26,706
11,5228,27,742
12,5156,29,812
13,5103,26,868
14,5056,29,912
15,5002,28,967
16,4957,23,1017
17,4923,24,1050
18,4889,20,1088
19,4857,19,1121
20,4825,17,1155
21,4766,29,1202
22,4715,34,1248
23,4669,27,1301
24,4619,32,1346
25,4586,20,1391
26,4560,19,1418
27,4494,40,1463
28,4444,30,1523
29,4406,27,1564
30,4362,18,1617
31,4344,12,1641
32,4330,5,1662
33,4323,3,1671
34,4316,3,1678
35,4300,8,1689
36,4291,4,1702
37,4289,2,1706
38,4278,4,1715
39,4270,4,1723
40,4267,1,1729
41,4267,0,1730
